,2018-12-11,2018-12-12,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,163.37955,166.11004999999997,161.47811666666666,154.49788333333336,155.1387833333333,155.10836666666665,152.85114999999993,145.02853333333334,152.7329,159.30629999999994,158.57128333333335,153.9433833333333,163.42100000000002,163.64303333333334,166.47060000000008,166.82963333333336,167.20479999999998,167.37809999999996,164.2206666666667,165.04053333333331,166.50508333333335,171.4968,169.97433333333336,171.02966666666669,175.3793666666666,172.79766666666671,166.56596666666667,172.08748333333332,181.24105000000003,185.73138333333338,187.18083333333337,189.21091666666663,187.95514999999992,186.62015000000005,189.04695,190.56530000000004,189.32515,187.78061666666662,188.89373333333333,189.9065666666666
1 min,162.97,165.37,162.02,153.93,155.72,155.72,152.24,144.74,153.81,159.64,159.74,153.96,163.3,163.5,166.89,166.23,167.97,167.5,163.34,165.28,166.6,172.08,170.77,171.15,175.58,172.5,166.67,172.62,181.54,186.07,186.78,189.28,188.47,186.71,189.45,190.31,189.47,187.75,188.54,190.88
1.5 hr,163.4153444444444,166.33273333333332,161.2357888888889,154.77043333333344,155.14924444444438,155.85641111111107,152.67769999999993,145.2546777777778,152.49233333333328,159.40331111111107,158.72396666666668,154.03308888888887,163.55162222222222,163.5177111111111,166.40240000000003,166.97767777777779,166.98565555555552,167.4065777777777,164.31438888888886,164.87048888888881,166.44296666666665,171.3898555555555,169.9770444444445,171.16265555555552,175.32021111111106,172.79927777777777,166.07025555555555,171.9623555555556,181.48911111111113,185.67042222222227,187.37017777777777,189.24448888888887,187.69109999999992,186.59248888888894,189.26714444444445,190.58408888888897,189.5110777777778,187.7239555555555,188.9512777777777,189.8984444444444
10 day,157.78799999999998,160.46499999999997,164.02,162.99599999999998,161.78699999999998,160.85399999999998,159.247,157.697,155.05700000000002,153.60999999999999,154.208,154.03900000000002,154.805,155.949,158.151,160.528,161.94299999999998,162.84,163.217,164.256,165.512,166.38500000000002,167.11200000000002,168.085,168.84699999999998,169.35099999999997,169.68699999999998,170.50199999999998,172.12099999999998,174.06900000000002,175.53900000000002,177.39100000000002,179.07299999999998,180.61399999999998,181.99699999999999,183.777,186.06,187.57299999999998,188.27399999999997,188.747
10 min,163.0155,166.0758,161.94,154.25910000000002,156.5561,155.9844,152.37999999999997,145.0217,153.4118,159.04,159.5555,154.22839999999997,163.1963,163.73330000000004,166.7127,165.7366,167.83600000000004,167.50189999999998,163.6365,165.1375,166.6273,171.73000000000002,170.1782,171.27149999999997,175.4023,172.0857,166.69849999999997,172.3315,181.16770000000002,185.98360000000002,186.66500000000002,189.192,188.30530000000002,186.82739999999998,189.09470000000002,190.4558,189.54880000000003,187.72899999999998,188.61430000000001,190.4982
100 day,139.5328,139.8647,140.4832,140.68409999999997,140.8971,141.1485,141.4301,141.6392,142.02980000000002,142.87250000000003,143.11980000000003,143.2947,143.55650000000003,143.8206,144.11610000000002,144.3859,144.665,144.91310000000004,145.11350000000002,145.50010000000003,145.70910000000003,145.91990000000004,146.11080000000004,146.479,146.69670000000002,146.8763,146.97629999999998,147.28040000000001,147.6505,148.06179999999998,148.493,148.9244,149.3271,149.68779999999998,150.07119999999998,150.5269,150.9853,151.4562,151.92499999999998,152.4466
125 day,137.17456,137.47312,138.0128,138.20639999999997,138.42663999999996,138.66608,138.89048,139.08415999999997,139.53759999999997,140.43712,140.72511999999998,140.94615999999996,141.22296,141.49816,141.80064,142.07712,142.32232,142.58392,142.82752000000002,143.33488000000003,143.60368000000003,143.92167999999998,144.21648000000002,144.84272,145.17208,145.50768,145.85,146.2388,146.67999999999998,147.12223999999995,147.58319999999998,148.04511999999997,148.49095999999997,148.90375999999998,149.3268,149.75184,150.17127999999997,150.57407999999995,150.96879999999996,151.37472
15 min,163.08786666666666,166.2622,161.78473333333332,154.22606666666667,156.6027333333333,155.8386,152.46393333333333,144.9618,153.2622,159.05733333333333,159.24553333333333,154.28706666666668,163.18946666666668,163.63500000000005,166.66220000000004,165.8488,167.79600000000002,167.42806666666667,163.76786666666666,165.09073333333333,166.6186,171.65106666666668,170.18633333333338,171.19933333333333,175.42406666666668,172.18213333333333,166.81339999999997,172.25460000000004,181.15846666666667,185.94973333333334,186.70933333333332,189.1886666666667,188.28473333333335,186.88693333333333,189.11086666666662,190.53986666666663,189.54586666666668,187.6839333333333,188.64553333333336,190.44546666666665
150 day,136.04560000000004,136.23906666666667,136.59193333333334,136.72393333333332,136.87246666666667,137.01726666666667,137.1448666666667,137.21453333333332,137.44233333333335,138.0218,138.21733333333333,138.3656,138.58153333333337,138.82960000000003,139.08826666666664,139.33806666666666,139.6024,139.89633333333333,140.1592,140.6924,140.96,141.2525333333333,141.53706666666665,142.0848666666666,142.4008666666666,142.71246666666661,142.99699999999996,143.34299999999996,143.74106666666663,144.1966666666666,144.64246666666662,145.09693333333325,145.52506666666662,145.94419999999994,146.36433333333326,146.7746666666666,147.1774666666666,147.56819999999993,147.9476666666666,148.30419999999995
175 day,134.8397714285715,135.0653714285715,135.5116571428572,135.68577142857146,135.85268571428574,136.01874285714288,136.15491428571434,136.27045714285717,136.48085714285716,136.9530285714286,137.12394285714288,137.28657142857145,137.51954285714288,137.7342285714286,137.9782857142857,138.21451428571427,138.45645714285712,138.69125714285715,138.88914285714287,139.26988571428572,139.45154285714287,139.65485714285714,139.84205714285716,140.26011428571428,140.5009714285714,140.7211428571428,140.91411428571428,141.13205714285712,141.41679999999997,141.73514285714282,142.06234285714282,142.39828571428566,142.7279428571428,143.04908571428567,143.37839999999997,143.7174857142857,144.07879999999994,144.41937142857137,144.7612571428571,145.1182857142857
