,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,41.709733333333325,41.187666666666686,39.88210000000001,39.11235,38.158899999999996,38.95851666666668,36.52051666666667,36.85424999999999,36.121750000000006,36.076933333333336,36.905733333333345,38.08155000000001,35.83118333333333,37.14583333333331,38.504549999999995,38.12806666666667,39.88406666666667,39.876333333333314,40.06748333333332,37.925216666666664,37.90636666666667,36.450916666666664,39.051899999999996,37.58163333333333,37.62468333333333,40.03944999999998,43.30529999999998,43.824549999999995,42.78898333333331,43.85828333333333,44.649100000000004,47.091249999999995,47.37456666666667,47.91476666666669,45.79253333333334,46.54456666666668,46.02290000000001,47.49451666666665,47.80563333333334,47.99408333333333,47.731266666666656
1 min,41.6,40.96,39.96,38.79,38.24,38.72,36.57,36.7,35.91,36.93,36.99,38.26,35.65,37.17,38.5,38.11,39.78,39.81,40.02,38.06,37.83,36.47,39.2,37.57,37.6,40.14,43.17,44.01,42.55,43.84,45.01,47.0,47.4,48.01,45.85,46.72,45.93,47.25,47.69,47.99,47.65
1.5 hr,41.67477777777777,41.24894444444447,39.895866666666656,39.18463333333332,38.232633333333304,38.98658888888889,36.9196111111111,36.85475555555554,36.19897777777778,35.97590000000001,36.85062222222223,38.199411111111104,35.85812222222222,37.152344444444445,38.44227777777779,38.110422222222226,39.96173333333333,39.857655555555546,40.08723333333332,37.88564444444444,37.95545555555556,36.44553333333331,39.063966666666666,37.58123333333333,37.62584444444443,40.03941111111109,43.16234444444443,43.77963333333333,42.84574444444444,43.855122222222214,44.63905555555556,47.021077777777755,47.40087777777777,47.85701111111113,45.83983333333333,46.44840000000001,46.03958888888891,47.53643333333332,47.845511111111115,47.96455555555553,47.74512222222223
10 day,44.00012,43.239560000000004,42.431650000000005,41.76678,41.06244,40.3078,39.67054,38.9889,38.384190000000004,37.27244,36.52351,36.5763,36.32172,36.42925000000001,36.657920000000004,36.927530000000004,37.44799999999999,37.786,38.1,38.23199999999999,38.260000000000005,38.342000000000006,38.54600000000001,38.45400000000001,38.40500000000001,38.440000000000005,38.775,39.172,39.620999999999995,40.236,40.952,42.004999999999995,43.855,44.892999999999994,45.464999999999996,45.82,46.013,46.483999999999995,46.870000000000005,47.169000000000004,47.234
10 min,41.5628,41.0537,39.93249999999999,38.873000000000005,38.11300000000001,38.9025,36.528499999999994,36.6457,35.9392,36.705000000000005,36.84780000000001,38.158100000000005,35.758,37.1555,38.492000000000004,38.1266,39.6815,39.873000000000005,40.0235,38.0585,37.86650000000001,36.4647,39.102,37.51099999999999,37.5825,40.1466,43.222500000000004,43.8865,42.65749999999999,43.777,44.888999999999996,47.0345,47.3335,47.95249999999999,45.829800000000006,46.634,45.9845,47.314499999999995,47.6915,48.062,47.646
100 day,55.64782400000003,55.302367000000025,54.949490000000026,54.59739400000002,54.23498300000002,53.86292900000002,53.52805900000001,53.20503400000001,52.873041,52.23587100000002,51.34646400000001,51.073252999999994,50.783136000000006,50.52103,50.27769899999999,50.02313599999999,49.79554599999999,49.55729899999999,49.325458,49.07988299999998,48.57412399999998,48.31920199999999,48.08708099999999,47.83210499999999,47.575772,47.357159,47.169822,46.99127600000001,46.82757300000001,46.678919000000015,46.56357900000001,46.46931700000001,46.32616,46.252852999999995,46.152961999999995,46.06294,45.96296699999998,45.867294999999984,45.773086999999975,45.66554199999998,45.548143999999986
125 day,59.91828800000003,59.599856000000024,59.28861280000002,58.97062320000003,58.64658480000002,58.32851040000003,57.988338400000025,57.65844160000001,57.33436000000001,56.69119440000002,55.75768000000002,55.46227200000001,55.141367200000005,54.82886480000001,54.5132296,54.191504,53.897968,53.59946720000001,53.29748400000001,52.9882696,52.3578392,52.0434944,51.7574064,51.46023280000001,51.17347600000001,50.90281040000001,50.6448808,50.440307200000014,50.23274080000001,50.03447520000001,49.85268800000001,49.692536800000006,49.3884176,49.24229119999999,49.0845224,48.940908799999995,48.801383999999985,48.676959199999985,48.549948799999974,48.433396799999976,48.30551919999998
15 min,41.57520000000001,41.07913333333333,39.92466666666666,38.86793333333334,38.09313333333334,38.97433333333334,36.45746666666666,36.70713333333333,35.97280000000001,36.608,36.8932,38.12793333333334,35.809666666666665,37.183800000000005,38.50653333333334,38.134933333333336,39.71699999999999,39.889333333333326,40.029999999999994,38.05853333333334,37.86100000000001,36.48193333333333,39.062000000000005,37.544666666666664,37.58100000000001,40.075799999999994,43.293,43.85433333333333,42.68733333333332,43.79266666666668,44.81766666666667,47.09386666666667,47.3404,47.94533333333333,45.79386666666667,46.62966666666667,46.007400000000004,47.3358,47.668000000000006,48.05433333333334,47.69219999999999
150 day,63.57848866666667,63.33969,63.09042733333333,62.834959333333344,62.56097533333334,62.27803266666668,61.954843333333365,61.63561733333336,61.322662000000015,60.66625666666669,59.704230000000024,59.39897600000001,59.07606266666668,58.78278133333335,58.48301066666668,58.18738133333335,57.896150000000006,57.61269600000001,57.34444333333334,57.06292733333333,56.496606666666665,56.20293600000001,55.929474,55.65771133333333,55.38848666666667,55.13450733333334,54.90254000000001,54.671832000000016,54.43929600000001,54.22533533333335,54.016646000000016,53.82919533333335,53.457869333333335,53.269000000000005,53.07349333333334,52.879806,52.677853999999996,52.473358,52.269119999999994,52.079106666666654,51.88262266666666
175 day,66.41697942857144,66.13422057142857,65.85676342857143,65.58798114285715,65.31182399999999,65.02632171428571,64.73480914285715,64.43908571428571,64.14207371428571,63.53784914285715,62.666276571428575,62.40179828571428,62.125570857142854,61.860804,61.59252971428571,61.36117828571429,61.151032571428566,60.935448,60.73789085714286,60.52791028571427,60.094246285714284,59.87101542857143,59.659386285714284,59.43510971428571,59.21250857142857,58.99142457142857,58.77726914285714,58.54548000000001,58.30818171428572,58.088026285714285,57.86461485714286,57.64524857142858,57.212494285714286,57.007282857142854,56.78906514285714,56.57548228571427,56.37421257142856,56.16743771428571,55.96878399999999,55.76595714285713,55.56779657142855
