,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2019-01-04,2019-01-07,2019-01-11,2019-01-18,2019-01-22,2019-01-23,2019-01-25,2019-02-01,2019-02-05,2019-02-06,2019-02-12,2019-02-14,2019-02-15
1 hr,16.97491666666667,17.062083333333323,17.134200000000003,16.68731666666668,16.39538333333332,16.499266666666674,16.362466666666663,15.832383333333333,15.675983333333331,15.887933333333327,16.151766666666674,16.451666666666664,16.370783333333343,16.64031666666667,17.050766666666657,17.149383333333333,17.218633333333344,17.575766666666677,17.619750000000003,17.720300000000012,17.9361,17.96540000000001
1 min,16.97,17.04,17.08,16.71,16.39,16.515,16.36,15.83,15.67,15.92,16.15,16.52,16.42,16.71,17.06,17.1,17.28,17.57,17.63,17.72,17.89,18.0
1.5 hr,16.968488888888896,17.05078888888889,17.1167111111111,16.660411111111106,16.410911111111105,16.495477777777783,16.41117777777777,15.823722222222207,15.708877777777777,15.90493333333333,16.137433333333334,16.453533333333333,16.36168888888889,16.616511111111105,17.04852222222221,17.166711111111116,17.221077777777783,17.577955555555548,17.61883333333331,17.715911111111115,17.929066666666667,17.965955555555563
10 day,17.534820000000003,17.492079999999998,17.4215,17.294999999999998,17.142000000000003,17.000999999999998,16.893,16.72,16.578,15.588,15.62,16.019,16.383000000000003,16.438,16.513000000000005,16.676000000000002,17.115000000000002,17.303000000000004,17.360000000000003,17.54,17.634,17.706
10 min,16.9785,17.0505,17.1135,16.7,16.3684,16.535,16.374999999999996,15.804499999999999,15.6774,15.9145,16.166000000000004,16.496000000000002,16.399499999999996,16.671,17.057,17.080499999999997,17.2515,17.563499999999998,17.627000000000002,17.716,17.907000000000004,17.996000000000002
100 day,17.287208000000007,17.284961000000003,17.286582000000006,17.286880000000007,17.285167,17.282573000000003,17.280758000000002,17.275723,17.267405,17.15499,17.144735999999998,17.084007,17.008780999999995,16.999866999999995,16.993956999999998,16.987422,16.976462999999995,16.974627999999996,16.974562000000002,16.977694999999997,16.985641,16.994749000000002
125 day,17.3002912,17.296988,17.292183199999997,17.285527199999997,17.276707999999996,17.2674216,17.256223199999997,17.239279199999995,17.2263648,17.1275576,17.118561599999996,17.089472,17.050288799999997,17.0485456,17.051584000000005,17.060698400000003,17.092933600000006,17.104703999999998,17.110955200000003,17.122588800000003,17.124339200000005,17.123328000000004
15 min,16.984,17.058666666666667,17.136000000000003,16.689,16.369266666666668,16.534,16.359533333333328,15.808333333333332,15.673266666666665,15.905333333333335,16.171333333333337,16.493666666666666,16.393666666666665,16.672,17.0556,17.095666666666666,17.253199999999996,17.566199999999995,17.625999999999998,17.71933333333333,17.918000000000003,17.98933333333333
150 day,17.161809333333323,17.16556399999999,17.170309999999986,17.172456666666655,17.174901999999985,17.17637199999999,17.178157333333324,17.17634333333332,17.17366066666666,17.141295333333332,17.14277933333333,17.138810666666664,17.09942333333333,17.092886,17.089672666666672,17.08505133333334,17.079426000000005,17.086131333333338,17.08982133333334,17.104468,17.111077333333334,17.115649333333337
175 day,17.114839428571425,17.114566285714282,17.114354285714278,17.113998285714278,17.111419999999992,17.109470285714277,17.10795942857142,17.10116799999999,17.093631999999992,17.028177714285707,17.02383428571428,17.021469142857136,17.014997714285705,17.01689428571428,17.020734285714283,17.03306171428571,17.067055999999997,17.082525714285712,17.090692571428573,17.12723942857143,17.143545714285718,17.151313714285717
