,2019-02-07
1 hr,34.86308333333334
1 min,34.55
1.5 hr,34.89033333333334
10 day,33.354
10 min,34.6898
100 day,32.761236999999994
125 day,33.6245584
15 min,34.735533333333336
150 day,34.19645933333333
175 day,34.77832
2 day,33.870000000000005
2 hr,34.908991666666665
2.5 hr,34.90598666666667
20 day,32.588
20 min,34.75215
200 day,34.933107
25 min,34.76092
3 hr,34.868405555555555
3.5 hr,34.835357142857156
30 day,31.783996666666663
30 min,34.7735
4 hr,34.81706666666668
4.5 hr,34.78198888888889
40 day,31.446387499999993
45 min,34.826111111111125
5 day,33.65
5 hr,34.76272666666668
5 min,34.662
5.5 hr,34.788933333333354
50 day,31.70822999999999
50 min,34.837800000000016
55 min,34.85027272727274
6 hr,34.78545277777779
6.5 hr,34.748715384615416
60 day,31.961223333333326
70 day,32.04465142857141
80 day,32.16467499999999
90 day,32.40912888888888
Tomorrow,34.17
