,2019-02-12
1 hr,116.13879999999997
1 min,116.12
1.5 hr,116.18094444444442
10 day,110.46900000000001
10 min,116.123
100 day,98.70610000000002
125 day,100.56568000000001
15 min,116.18960000000001
150 day,101.1290666666667
175 day,101.05577142857146
2 day,113.69999999999999
2 hr,116.16581666666664
2.5 hr,116.08379333333338
20 day,106.96950000000001
20 min,116.18955000000001
200 day,99.02755000000003
25 min,116.19076000000001
3 hr,115.94808333333339
3.5 hr,115.87778095238102
30 day,102.909
30 min,116.1668
4 hr,115.77317500000002
4.5 hr,115.61508518518522
40 day,98.69224999999999
45 min,116.1464222222222
5 day,111.26599999999999
5 hr,115.47590000000008
5 min,116.197
5.5 hr,115.32786666666672
50 day,97.36099999999999
50 min,116.13903999999998
55 min,116.1326727272727
6 hr,115.18703611111113
6.5 hr,115.04120769230771
60 day,96.19516666666665
70 day,96.42557142857144
80 day,96.312375
90 day,96.89800000000004
Tomorrow,119.41
