,2019-01-04,2019-02-01,2019-02-08
1 hr,150.25735,165.17451666666665,167.6325166666667
1 min,150.47,166.08,167.81
1.5 hr,150.21266666666665,165.0483444444444,167.64768888888892
10 day,148.92862000000002,159.911,163.58800000000002
10 min,150.70199999999997,165.9255,167.54700000000003
100 day,147.95233000000002,149.92266600000002,150.90906300000003
125 day,149.42736320000006,149.39551360000002,150.0554616
15 min,150.60399999999998,165.78966666666668,167.54733333333334
150 day,149.9120393333334,150.48282600000005,150.97512733333338
175 day,150.0220891428572,150.76167942857148,151.13894628571433
2 day,148.51999999999998,164.45,165.29500000000002
2 hr,150.06962499999995,165.02692499999998,167.63055833333337
2.5 hr,150.0212933333333,165.05918666666662,167.66117999999997
20 day,151.288565,156.744,160.2
20 min,150.4795,165.69800000000004,167.5335
200 day,149.84516600000003,150.670025,151.07298600000001
25 min,150.40792000000002,165.622,167.5298
3 hr,150.04837777777766,165.02498333333324,167.6048111111111
3.5 hr,149.95616190476184,165.02710952380946,167.49276190476186
30 day,153.29301666666666,154.14648,157.09867
30 min,150.34293333333335,165.54066666666668,167.53816666666665
4 hr,149.87610833333318,165.086975,167.37612083333335
4.5 hr,149.80345555555544,165.102962962963,167.27643703703703
40 day,154.59031249999998,154.17089249999998,155.483385
45 min,150.2605111111111,165.33211111111112,167.62224444444442
5 day,149.902,161.41199999999998,165.764
5 hr,149.73338333333325,165.06127000000004,167.09996
5 min,150.86599999999999,166.13100000000003,167.62600000000003
5.5 hr,149.65727272727267,164.9650333333334,166.95437272727278
50 day,152.04774999999998,154.85586199999997,155.76183199999997
50 min,150.25942,165.27394,167.62802
55 min,150.26147272727275,165.2210181818182,167.62656363636367
6 hr,149.54307499999993,164.89710000000008,166.8265972222223
6.5 hr,149.4260153846153,164.82668974358975,166.68427692307694
60 day,149.81236666666663,155.36363833333334,156.10084999999998
70 day,148.6020071428571,153.2301585714286,155.25663
80 day,148.26155249999996,151.44192625,153.10938500000003
90 day,148.0929588888889,150.33743000000004,151.7029211111111
Tomorrow,151.61,165.36,170.02
