,2018-12-12,2018-12-13
1 hr,11.943000000000003,11.871749999999999
1 min,11.92,11.8
1.5 hr,11.962533333333335,11.87568888888889
10 day,13.031,12.835000000000003
10 min,11.8925,11.832
100 day,15.920250000000005,15.879850000000006
125 day,15.658600000000003,15.655880000000003
15 min,11.893,11.837333333333333
150 day,15.080833333333333,15.075233333333331
175 day,14.804714285714285,14.794771428571426
2 day,12.01,11.865
2 hr,11.977733333333333,11.87601666666666
2.5 hr,12.00118666666665,11.881920000000001
20 day,13.721,13.508000000000001
20 min,11.902249999999999,11.843000000000004
200 day,14.597249999999999,14.5953
25 min,11.910599999999999,11.846800000000004
3 hr,12.020061111111092,11.885127777777788
3.5 hr,12.04330952380951,11.887704761904766
30 day,14.341999999999997,14.262333333333332
30 min,11.911000000000001,11.851333333333336
4 hr,12.071166666666649,11.890820833333338
4.5 hr,12.089992592592578,11.895933333333328
40 day,14.580499999999997,14.460249999999998
45 min,11.924555555555559,11.868222222222224
5 day,12.331999999999999,12.063999999999998
5 hr,12.11606666666666,11.902276666666655
5 min,11.905,11.827000000000002
5.5 hr,12.136784848484846,11.908978787878771
50 day,15.1352,15.015400000000001
50 min,11.932900000000002,11.869100000000001
55 min,11.938545454545457,11.870636363636363
6 hr,12.150530555555557,11.913216666666651
6.5 hr,12.168976923076922,11.916135897435876
60 day,15.470833333333331,15.3835
70 day,15.715714285714284,15.636571428571427
80 day,15.831875000000002,15.780125000000002
90 day,15.861388888888895,15.809833333333339
Tomorrow,11.81,11.39
