,2018-12-21,2018-12-31,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-14,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-29,2019-02-01,2019-02-04,2019-02-08
1 hr,39.45634999999998,38.6307,39.70851666666668,36.53269999999999,35.818716666666646,36.27761666666666,35.117533333333334,33.36661666666665,32.56829999999999,32.88215,34.32303333333335,32.47613333333333,32.024849999999994,32.55791666666668,32.31230000000001,31.773233333333334,31.729033333333337,28.453200000000006
1 min,39.5,38.55,39.89,36.55,35.93,36.78,35.053,33.3,32.49,32.93,34.3,32.34,31.81,32.76,32.23,31.86,31.9,28.64
1.5 hr,39.4816222222222,38.58603333333333,39.73174444444446,36.60597777777776,35.757388888888876,36.17814444444444,35.17948888888891,33.37399999999998,32.60984444444443,32.938355555555546,34.31988888888891,32.547688888888906,32.032900000000005,32.549111111111145,32.3718111111111,31.763266666666667,31.734077777777777,28.45274444444446
10 day,45.690999999999995,41.812,41.267999999999994,40.483,39.501999999999995,39.229,38.089,37.072,36.189,34.583999999999996,34.282,33.919999999999995,33.422,33.093999999999994,32.687,32.315,32.075,31.182
10 min,39.4105,38.5713,39.8232,36.564,35.876,36.665499999999994,35.0068,33.2863,32.439499999999995,32.829299999999996,34.29750000000001,32.288000000000004,31.808500000000002,32.76299999999999,32.284499999999994,31.906599999999997,31.8593,28.546499999999998
100 day,63.87070000000001,61.4907,61.093900000000005,60.685100000000006,59.910599999999995,59.50439999999999,58.781199999999984,58.41079999999999,58.00619999999998,56.76299999999999,56.35789999999998,55.920399999999994,55.47469999999999,55.02289999999999,53.75539999999998,52.68019999999999,52.30349999999999,50.621399999999994
125 day,70.14544000000001,67.77879999999999,67.2892,66.76552000000001,65.74976,65.28527999999999,64.35287999999998,63.88304,63.41671999999999,62.00296000000001,61.53672,61.04872000000001,60.567040000000006,60.08952000000001,58.66095999999999,57.25456,56.77712,55.12032
15 min,39.413,38.62753333333333,39.83979999999999,36.54933333333334,35.88233333333333,36.59066666666666,35.00646666666667,33.357,32.47566666666666,32.842933333333335,34.291000000000004,32.31933333333334,31.827,32.74366666666666,32.28366666666666,31.88973333333333,31.8092,28.517333333333326
150 day,73.138,71.84906666666669,71.58820000000001,71.31940000000003,70.78680000000001,70.50160000000002,69.81700000000001,69.46560000000001,69.113,67.95386666666668,67.54506666666668,67.11800000000002,66.66080000000002,66.21000000000001,64.8222,63.45940000000001,63.0118,61.11480000000001
175 day,72.98194285714287,72.2070285714286,72.03114285714288,71.84960000000004,71.47645714285717,71.2854285714286,70.87480000000002,70.64954285714289,70.43674285714287,69.80577142857146,69.6082285714286,69.38525714285717,69.13977142857145,68.87680000000002,68.03240000000001,67.21594285714288,66.94120000000001,65.82537142857146
2 day,40.22,39.92,39.22,38.22,36.635000000000005,36.36,35.55,34.19,32.879999999999995,32.84,33.61,33.315,32.06,32.265,32.03,31.939999999999998,31.89,29.009999999999998
2 hr,39.493774999999985,38.49457500000002,39.72974166666668,36.65104999999999,35.66656666666666,36.081225,35.227658333333345,33.39792499999997,32.64785833333331,32.939624999999985,34.31565833333335,32.64343333333334,32.06200000000001,32.5056166666667,32.39494166666666,31.751999999999995,31.724791666666654,28.446475000000007
2.5 hr,39.53068666666666,38.50619999999999,39.769840000000016,36.74814666666665,35.678219999999996,36.006886666666695,35.21638,33.32846666666665,32.711133333333315,32.986093333333315,34.25231333333333,32.709700000000005,32.05386666666668,32.49201333333337,32.43643333333334,31.70471999999999,31.72804,28.418846666666674
20 day,47.5695,45.50349999999999,44.99699999999999,44.23199999999999,42.940999999999995,42.459999999999994,41.0975,40.32950000000001,39.464,37.5335,37.14149999999999,36.711,36.32549999999999,35.95499999999999,34.437999999999995,33.4495,33.1785,32.0195
20 min,39.39175,38.68915,39.85969999999999,36.54299999999999,35.863749999999996,36.53824999999999,35.02935,33.39235,32.515249999999995,32.8552,34.28490000000001,32.36295,31.8545,32.72389999999999,32.279999999999994,31.870899999999995,31.77815,28.48649999999999
200 day,71.84585000000001,71.2599,71.12440000000001,70.97560000000003,70.67405000000002,70.53450000000002,70.24745000000001,70.10145000000001,69.94990000000001,69.49595000000002,69.34740000000002,69.18855000000002,69.04570000000001,68.90860000000002,68.45925000000001,67.95075000000003,67.76675000000002,66.97605000000003
25 min,39.36348,38.71452,39.844159999999995,36.53999999999999,35.84871999999999,36.480799999999995,35.03988000000001,33.41292,32.53979999999999,32.87016,34.28,32.38432,31.881000000000004,32.69092,32.273559999999996,31.843799999999998,31.75631999999999,28.471719999999987
3 hr,39.55862777777779,38.56293888888888,39.80585000000002,36.87537777777776,35.701233333333334,35.98561111111113,35.23810555555555,33.24530555555554,32.77332222222219,32.99967222222221,34.19542777777778,32.74910555555555,32.00400000000002,32.47205555555557,32.41910555555557,31.67072777777778,31.730033333333328,28.392222222222223
