,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-29,2019-01-30,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-14,2019-02-15
1 hr,106.11070000000004,110.04196666666671,107.82043333333333,106.71696666666665,104.65280000000004,102.85008333333334,98.23020000000001,94.02935000000002,98.11643333333335,98.26546666666667,104.22040000000003,103.62644999999999,107.36846666666666,109.84975000000001,112.63939999999998,114.51295,111.43366666666667,113.37446666666665,107.8765833333333,107.4773,111.84043333333332,115.40383333333331,113.26613333333331,114.55541666666667,118.61826666666668,116.55186666666665,120.63443333333333,125.28575000000004,127.26033333333334,131.03959999999998,126.58948333333332,124.85066666666668,126.55134999999999,123.61474999999994,124.33215000000003
1 min,105.54,109.41,108.11,106.68,104.48,103.09,97.8,93.4,99.22,98.92,104.4,103.39,107.56,109.42,112.91,114.37,111.4,113.57,108.18,107.8,111.43,115.21,113.06,114.35,118.54,116.68,120.48,126.08,127.22,131.47,126.88,125.01,126.12,123.43,124.55
1.5 hr,106.1971777777778,110.00005555555556,107.75991111111107,106.75214444444444,105.13838888888888,102.70491111111112,98.37635555555556,94.48488888888892,97.80472222222224,98.07565555555554,104.40745555555557,103.82013333333333,107.46218888888886,109.84207777777777,112.60810000000004,114.42890000000003,111.43312222222228,113.22476666666665,108.06515555555558,107.39854444444441,111.9897,115.38248888888884,113.33527777777775,114.44702222222224,118.60603333333337,116.68826666666666,120.78489999999998,125.23937777777782,127.19904444444445,130.9040777777778,126.57229999999996,124.71877777777779,126.59966666666662,123.7264444444444,124.34133333333332
10 day,109.59974,109.25874999999999,108.79251,108.65134,108.16224000000003,106.50206,103.85969,102.70849000000001,100.66657000000001,97.69018000000001,97.68222,97.71205,98.62365000000001,99.78379,101.72133,103.94418,105.15402999999999,106.68795,107.76757,108.64836,109.35418999999999,111.19331,111.45577,111.45974999999999,112.16855000000001,113.48079000000003,114.74431999999999,117.06161,119.49521999999999,121.3244,122.56406000000001,123.90711999999999,124.84657000000001,125.66374,125.58187000000001
10 min,105.6492,109.6788,108.106,106.582,104.23499999999999,103.57400000000003,97.634,93.37110000000001,99.1246,98.4085,104.412,103.471,107.3605,109.67849999999999,113.07549999999999,114.18599999999999,111.5604,113.62699999999998,107.80690000000001,107.755,111.619,115.29549999999999,112.98599999999999,114.4455,118.61970000000001,116.5925,120.45919999999998,125.8545,127.272,131.378,126.761,124.7959,126.15110000000001,123.52170000000001,124.41299999999998
100 day,125.76183299999995,125.23999899999997,124.70710799999995,124.16196699999999,123.57276399999999,122.97504399999998,121.73242699999999,121.02355299999998,119.885676,118.33956400000002,117.8665,117.39881100000001,117.00988500000001,116.64505299999999,116.35486800000001,116.12815199999999,115.85779699999998,115.58187099999999,115.217716,114.85472099999998,114.53157000000002,113.94011100000002,113.24875100000001,112.91791300000003,112.63030200000001,112.08926899999999,111.90158,111.84883099999998,111.708226,111.683185,111.610343,111.455326,111.39684100000001,111.20432899999997,111.09995
125 day,133.10099439999993,132.58667999999997,132.08519919999995,131.5585232,131.03516399999998,130.48488319999998,129.35781120000001,128.7925968,127.7127944,126.23979680000001,125.87485599999998,125.4809112,125.1042632,124.71712159999998,124.3160216,123.95952319999998,123.55317039999997,123.15833999999998,122.71396079999998,122.27536159999997,121.8665056,121.1190192,120.33771439999998,119.9453248,119.58994239999997,118.90331039999995,118.55149839999996,118.10119599999996,117.72913999999997,117.57052959999999,117.37086079999997,116.99780239999997,116.83843359999997,116.61928399999996,116.51311999999999
15 min,105.75713333333333,109.80386666666665,108.12666666666665,106.44500000000001,104.01653333333334,103.59933333333333,97.72380000000003,93.34873333333333,99.00373333333333,98.41833333333332,104.45506666666665,103.479,107.37133333333334,109.73199999999997,113.00106666666666,114.185,111.5094,113.61899999999997,107.78193333333336,107.66966666666667,111.64000000000001,115.33359999999999,113.08733333333332,114.47099999999999,118.59546666666667,116.59066666666666,120.4548,125.71100000000001,127.25506666666668,131.25433333333336,126.737,124.81233333333336,126.19839999999999,123.5792,124.491
150 day,141.84430733333326,141.27054999999993,140.67324733333325,140.10480599999994,139.5478613333333,138.98633333333328,137.7829973333333,137.1647773333333,135.89217666666661,134.02989866666667,133.45597666666663,132.8604373333333,132.29030866666662,131.7558133333333,131.3073446666666,130.90756466666662,130.4708866666666,130.06979533333327,129.62034466666663,129.15103399999995,128.71580399999996,127.92808333333332,127.13888666666664,126.76856466666665,126.41232533333329,125.72931666666663,125.43771066666663,124.92120799999996,124.41996799999998,124.28222933333333,124.12709733333334,123.74513133333332,123.5329273333333,123.06357133333331,122.81671066666665
175 day,147.7451902857142,147.36309771428563,146.96440057142848,146.57306171428567,146.15854971428567,145.71993485714282,144.78645885714283,144.2898931428571,143.25631942857137,141.7030942857143,141.21626114285712,140.74179714285714,140.33075428571428,139.9229057142857,139.529792,139.13899371428568,138.69969371428564,138.27718914285708,137.82042799999996,137.35737714285708,136.91830971428567,136.03691428571423,135.0956485714285,134.6746765714285,134.28107657142849,133.46926114285708,133.0931348571428,132.3309051428571,131.5819828571428,131.23911199999995,130.87488057142852,130.0987605714285,129.7352622857142,129.1470285714285,128.85139028571425
2 day,105.26735,106.83805,108.1155,106.77345,104.96915,103.17475,97.51820000000001,95.0428,95.05775,97.4983,101.05725000000001,103.2841,104.8548,107.8769,110.5312,112.9668,112.22125,111.81365,110.17335,107.30035000000001,108.99035,114.0504,111.8435,113.0613,115.78515,116.73455,117.88275,123.8077,125.07025,128.5795,128.4055,124.3694,124.8267,125.11500000000001,123.97
2 hr,106.03231666666672,110.10233333333336,107.71936666666664,106.89435833333339,105.42788333333333,102.63758333333337,98.08230000000005,94.79155000000006,97.62503333333335,97.95963333333331,104.5487166666667,103.86932500000003,107.60128333333333,109.87766666666668,112.54272500000003,114.42938333333336,111.40990833333338,113.06396666666666,108.10136666666673,107.55773333333332,112.06664166666665,115.39969999999994,113.32438333333333,114.34535833333334,118.640975,116.74755833333332,120.79174166666665,125.16486666666671,127.11375833333334,130.7719833333333,126.56703333333328,124.70458333333335,126.60961666666665,123.73408333333325,124.30289166666667
2.5 hr,105.89605333333337,110.24033999999997,107.86894000000001,106.99070000000002,105.68935333333333,102.60530000000004,98.0763333333334,95.03106000000004,97.47274000000002,97.95942666666664,104.77694000000002,103.87449333333336,107.67052666666665,109.88761333333333,112.51604666666668,114.43802000000004,111.34736000000002,112.94390000000001,108.05356666666673,107.77475333333334,112.10602000000002,115.38199333333328,113.28020666666669,114.30668666666672,118.61770666666668,116.77007333333334,120.70889333333332,125.1726133333334,127.0058733333333,130.5627733333333,126.72942,124.70438666666664,126.60928666666662,123.68958666666656,124.28034666666666
20 day,106.55157,107.07924999999997,107.41993,107.62884,107.57146500000002,107.37788,106.96880000000002,106.35641999999999,105.13315499999999,103.17076,102.92222999999998,102.107055,101.96787499999999,101.82173999999999,102.21490999999999,102.61902,102.9103,103.11658,103.11608500000003,103.16927000000001,103.51820500000001,104.90848000000001,106.58855000000001,107.701965,108.66128999999998,110.62418,111.69633999999999,113.74869999999999,115.46803500000001,116.390085,117.011905,118.26748,119.16368000000003,120.77614500000001,121.32174
20 min,105.81035,109.91669999999999,108.12419999999997,106.44175,103.9419,103.5595,97.85155000000002,93.26905,98.9604,98.4725,104.39879999999998,103.47574999999999,107.31365000000001,109.71324999999999,112.95929999999998,114.22295,111.48955000000001,113.57024999999999,107.78010000000002,107.59665,111.694,115.31595,113.14549999999997,114.50314999999998,118.58309999999999,116.66600000000001,120.47260000000001,125.62825000000002,127.27405000000002,131.15675000000002,126.70709999999997,124.82775000000001,126.26379999999999,123.59934999999999,124.5027
200 day,150.96316149999993,150.68178749999993,150.40011349999992,150.13138149999995,149.85337549999994,149.55868049999995,148.89484299999995,148.48332999999994,147.57244999999995,146.31229949999997,145.92778599999997,145.55360699999994,145.18758799999995,144.85683249999994,144.55965349999994,144.26811899999993,143.95634549999988,143.65168849999992,143.32820599999994,142.97217949999992,142.64134349999992,142.02209799999994,141.38151699999992,141.06817699999993,140.7611349999999,140.13650699999994,139.83656649999995,139.21968899999993,138.58996099999996,138.30200649999998,137.9877665,137.40809399999995,137.13403699999995,136.56959599999993,136.25403349999996
25 min,105.88808,109.94367999999999,108.04895999999997,106.46668,103.94352,103.50400000000002,98.00716000000003,93.24404,98.88532000000001,98.48379999999999,104.35784,103.50219999999999,107.28451999999999,109.7368,112.94483999999999,114.26495999999999,111.47424000000001,113.51819999999998,107.82352,107.53712,111.7262,115.34075999999997,113.19379999999997,114.51211999999998,118.55388,116.66560000000001,120.47768,125.56404000000003,127.29204000000001,131.09928000000002,126.64487999999996,124.83784000000003,126.31692000000001,123.62647999999999,124.48844
