,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,53.571400000000004,53.13265000000002,53.742216666666664,53.12531666666666,51.8101,51.40245,50.99023333333334,51.338683333333314,51.13679999999998,49.22035000000003,49.118000000000016,48.13653333333335,48.23641666666668,48.38478333333333,48.33658333333332,48.709966666666666,48.37153333333336,49.181549999999994,49.139883333333344,48.784316666666655,50.21963333333335,50.584783333333334,50.596433333333344,50.37214999999999,50.93946666666668,51.200116666666645,50.58571666666667,50.38918333333336,50.51841666666665,51.04319999999999,52.22820000000001,51.99623333333333,52.35953333333334,52.380050000000004,53.00836666666664,53.33639999999999,53.521266666666655,53.44543333333334,53.17044999999999,53.33926666666667,53.424233333333355
1 min,53.51,52.94,53.68,53.13,51.76,51.48,50.91,51.37,50.9,49.53,49.27,48.22,48.02,48.5,48.29,48.84,48.46,49.27,49.29,48.92,50.25,50.7,50.69,50.7,51.13,51.39,50.53,50.44,50.64,50.89,52.4,52.14,52.4,52.44,53.14,53.48,53.57,53.47,53.27,53.27,53.46
1.5 hr,53.60450000000001,53.124244444444464,53.70397777777779,53.112477777777784,51.89386666666664,51.44083333333336,51.07337777777775,51.29989999999998,51.25408888888887,49.10730000000001,49.10244444444446,48.193322222222235,48.261444444444464,48.34064444444445,48.32528888888888,48.65441111111114,48.378955555555585,49.15671111111109,49.11542222222224,48.74402222222222,50.201111111111125,50.5761888888889,50.58883333333334,50.32366666666666,50.89817777777779,51.1332222222222,50.609544444444445,50.37974444444444,50.50073333333332,51.08516666666666,52.19686666666667,51.951877777777774,52.334033333333345,52.37463333333331,52.951244444444434,53.32181111111111,53.49874444444442,53.46134444444445,53.15355555555554,53.34652222222222,53.40377777777781
10 day,52.23939,52.35847000000001,52.56884000000001,52.72861,52.65716,52.51327,52.32372999999999,52.14113999999999,51.91389,51.03865,49.997139999999995,49.6858,49.37928,49.17632,48.90771,48.74174,48.765,48.774,48.742999999999995,48.711,48.976,49.242000000000004,49.462,49.698,49.926,50.219,50.346000000000004,50.462,50.632999999999996,50.736,50.946999999999996,51.092,51.435,51.56500000000001,51.739,52.033,52.345000000000006,52.629,52.864,52.955,53.087
10 min,53.4876,53.04,53.7325,53.11500000000001,51.689499999999995,51.55800000000001,51.04599999999999,51.267500000000005,51.075,49.503499999999995,49.1939,48.1562,48.128499999999995,48.4635,48.3365,48.8215,48.4076,49.253,49.2462,48.868,50.245000000000005,50.657,50.584500000000006,50.521,51.041000000000004,51.36099999999999,50.5015,50.413,50.5701,50.9298,52.513999999999996,52.114,52.3005,52.4255,53.1005,53.37050000000001,53.52850000000001,53.39549999999999,53.2605,53.29350000000001,53.473
100 day,48.20539799999999,48.28147899999997,48.36834899999998,48.44730099999997,48.510783999999965,48.560168999999966,48.60675299999997,48.66075599999997,48.704482999999975,48.76300299999998,48.849457999999984,48.86575899999999,48.87700899999998,48.894041999999985,48.90897499999999,48.93019699999998,48.94318699999999,48.96161899999997,48.97906899999998,48.993509999999986,49.05612099999998,49.09347899999999,49.12837699999999,49.16710699999999,49.21004599999999,49.25095799999999,49.280415999999995,49.31182899999999,49.34071199999998,49.36471499999999,49.40301899999999,49.445227999999986,49.53080599999999,49.576702,49.627217,49.681728,49.737238,49.794526999999995,49.85894499999999,49.921775,49.985116
125 day,47.48391039999999,47.56651439999999,47.65136959999999,47.72981199999998,47.792413599999975,47.85555119999997,47.91439999999997,47.97682079999997,48.02527119999997,48.08760479999997,48.18898399999998,48.21045199999997,48.22772239999996,48.24583839999996,48.27645199999997,48.307371199999956,48.32965679999997,48.358815999999955,48.388687199999964,48.41725359999997,48.497823999999966,48.54173039999997,48.587922399999975,48.636471199999974,48.686811999999975,48.73805119999997,48.773117599999985,48.80974799999998,48.850261599999975,48.88852559999998,48.94201119999999,48.99208239999999,49.08630079999999,49.13396639999999,49.18628719999998,49.2388872,49.2930736,49.34653999999999,49.3988776,49.4477496,49.496015199999995
15 min,53.4896,53.08033333333333,53.75666666666666,53.103666666666676,51.666333333333334,51.522000000000006,51.056999999999995,51.28366666666667,51.08233333333333,49.47133333333333,49.199933333333334,48.12480000000001,48.162333333333336,48.464000000000006,48.37033333333333,48.8028,48.394400000000005,49.224999999999994,49.22780000000001,48.85373333333334,50.238333333333344,50.67100000000001,50.60766666666666,50.47506666666666,51.03433333333333,51.335599999999985,50.51933333333333,50.40533333333333,50.56173333333333,50.94093333333334,52.504333333333335,52.10033333333334,52.29386666666666,52.407000000000004,53.111666666666665,53.366333333333344,53.51826666666667,53.36653333333332,53.24933333333334,53.31233333333334,53.47833333333334
150 day,46.737662666666665,46.79639533333332,46.85716133333333,46.91428999999999,46.963716666666656,47.014547999999984,47.06355999999998,47.11828066666664,47.170737999999986,47.252483333333316,47.36572599999999,47.39283599999998,47.41633733333331,47.44355733333331,47.47445133333331,47.51298199999997,47.55424666666665,47.60722133333331,47.65792266666664,47.70641866666664,47.82296999999998,47.884435333333315,47.94104466666665,47.99430133333331,48.048985999999985,48.10153133333331,48.15044466666665,48.198954666666644,48.24873133333331,48.291841999999974,48.34337133333331,48.391070666666636,48.490065333333305,48.53615333333331,48.58677666666664,48.63750199999998,48.68639866666665,48.74650999999997,48.80174266666665,48.85238066666665,48.90461333333331
175 day,46.4246497142857,46.472761714285696,46.522393142857126,46.570189714285696,46.60976799999998,46.650661142857125,46.689381714285695,46.73522628571426,46.77584057142855,46.825667999999986,46.914815428571416,46.937717714285704,46.95747142857141,46.97940914285712,46.99618799999999,47.0127097142857,47.02845257142856,47.04988342857141,47.07204171428569,47.09247771428569,47.14883142857142,47.18757657142856,47.22743828571428,47.264561142857126,47.30437085714285,47.34705999999997,47.38745714285714,47.42901257142856,47.47399542857141,47.52130342857141,47.57767657142856,47.63189999999997,47.733279428571414,47.78090799999999,47.832202285714274,47.88348914285713,47.93579199999999,47.9919297142857,48.05021314285713,48.11306857142856,48.18241828571427
