,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,88.46975000000002,90.30356666666668,89.23753333333333,88.80658333333332,87.24884999999996,88.83093333333335,85.28598333333333,83.69521666666668,81.94789999999999,84.03686666666667,84.73883333333332,86.70668333333336,83.67216666666666,87.28036666666667,89.76981666666664,87.91666666666669,88.66641666666669,90.32331666666668,91.01015000000002,90.4054,90.81916666666667,92.03953333333337,93.33313333333336,89.97116666666663,89.00141666666669,105.99331666666669,110.25346666666665,109.63045000000001,109.60864999999997,112.64134999999997,111.61186666666669,111.29478333333334,110.7777833333333,114.48018333333333,112.46661666666667,113.42580000000001,114.41031666666666,118.39195,117.38363333333334,117.67206666666674,118.98528333333333
1 min,88.12,90.55,89.12,88.8,87.19,89.21,85.21,83.49,81.3,85.21,85.25,86.83,83.55,87.48,89.77,88.05,88.9,90.37,90.92,90.61,90.49,92.25,93.5,90.47,89.55,106.03,110.37,109.35,109.38,112.94,111.93,112.03,110.97,114.27,112.73,113.68,114.9,118.19,117.38,117.49,119.31
1.5 hr,88.51114444444445,90.28315555555557,89.24527777777777,88.69307777777777,87.39974444444441,88.7772777777778,85.96284444444444,83.61513333333336,82.15904444444443,83.67706666666669,84.70533333333334,86.82164444444444,83.76087777777776,87.27810000000001,89.71586666666664,87.92858888888885,88.6020777777778,90.24754444444446,90.98604444444445,90.3779,90.9090222222222,92.01407777777777,93.3414444444445,89.94966666666664,88.89522222222222,106.06333333333338,110.26975555555556,109.6979333333333,109.5955666666667,112.68161111111108,111.6648888888889,111.23034444444446,110.74179999999998,114.37698888888892,112.48484444444443,113.5168555555556,114.2786111111111,118.41328888888887,117.57200000000002,117.71178888888893,118.9515
10 day,89.87343000000001,90.03789,89.83256,89.59533,89.06706,88.52883,87.92381,87.37261999999998,86.80248999999999,85.67917,84.21598,84.18309,83.61993,83.8422,84.46815,85.12001,86.07388999999999,86.58721,87.24704999999999,87.86701,88.83184,89.69502000000001,90.30004,90.36881000000001,90.51832,92.23468999999999,94.22815,96.06612,97.94297000000002,100.10289,102.24088,104.21241,107.95751,110.45877,111.16042,111.52847999999999,112.11821,113.03495000000001,113.52283,114.1174,114.883
10 min,88.21450000000002,90.4233,89.23599999999999,88.88919999999999,87.03779999999999,89.32249999999999,85.4653,83.361,81.47500000000001,84.80499999999999,84.73899999999999,86.7875,83.73079999999999,87.4202,89.71869999999998,87.91499999999999,88.5745,90.35250000000002,90.99350000000001,90.4117,90.5705,92.1645,93.276,90.1775,89.32169999999999,106.05729999999998,110.1575,109.33099999999999,109.3472,112.69679999999998,111.77360000000002,111.71,110.80749999999998,114.43849999999998,112.7,113.49950000000001,114.74699999999999,118.388,117.09009999999998,117.65600000000002,119.09340000000002
100 day,78.28346600000003,78.51258800000001,78.72568100000001,78.94190600000002,79.13951400000002,79.29315600000002,79.41285400000002,79.524889,79.62548600000001,79.85397400000001,80.22274600000001,80.359548,80.46375600000002,80.62906900000002,80.812544,80.98383700000001,81.168465,81.36834299999998,81.569633,81.766341,82.134273,82.327479,82.52718899999998,82.681907,82.81028299999998,83.09061399999999,83.42422699999999,83.74171799999996,84.04997999999996,84.39292799999997,84.734051,85.08430900000002,85.76987100000002,86.15710800000001,86.516736,86.88368099999998,87.27116300000002,87.68320799999998,88.08635899999997,88.47770799999998,88.889339
125 day,75.95749920000004,76.12293920000003,76.27879520000005,76.43589280000006,76.58979120000006,76.75892960000006,76.90367840000008,77.04205920000007,77.17460800000006,77.45530000000007,77.93018480000005,78.11171520000003,78.25010240000006,78.41334400000005,78.59200320000005,78.74738640000004,78.92376640000003,79.1053136,79.29306400000002,79.4800768,79.84648,80.0395408,80.24660079999998,80.42760079999998,80.60640159999997,80.91503439999995,81.20651519999997,81.49476239999994,81.79099279999994,82.12161039999995,82.45208079999996,82.77860639999997,83.39950559999997,83.73049679999997,84.04924799999996,84.37567919999995,84.72981519999998,85.10646079999995,85.48051679999995,85.85998079999996,86.25376479999997
15 min,88.26166666666667,90.38246666666667,89.27466666666666,88.82079999999999,86.98386666666664,89.32233333333332,85.38626666666666,83.41433333333335,81.51753333333335,84.67966666666668,84.77066666666664,86.751,83.7692,87.38779999999998,89.74046666666665,87.90733333333334,88.54119999999999,90.35900000000002,91.02633333333333,90.40433333333334,90.58300000000001,92.17666666666668,93.28333333333332,90.1714,89.31213333333332,106.00733333333332,110.22466666666666,109.43046666666666,109.42119999999998,112.58006666666667,111.72853333333335,111.63426666666666,110.79766666666664,114.48873333333331,112.67466666666668,113.47100000000002,114.6674,118.40793333333336,117.0084,117.67293333333335,119.09493333333334
150 day,74.81281000000003,74.96619000000003,75.1017506666667,75.23865733333336,75.34754666666672,75.47677466666671,75.57560333333339,75.65970933333338,75.73230466666672,75.87751800000005,76.20036333333339,76.32819666666671,76.43568400000007,76.56829466666672,76.70137400000006,76.82335333333339,76.94999000000006,77.0852126666667,77.22389266666671,77.36775266666672,77.65511266666671,77.80855600000004,77.96622466666669,78.10487600000003,78.24064133333336,78.49434533333336,78.77576666666668,79.056798,79.344284,79.66319133333333,79.97256066666668,80.29227266666668,80.90582466666667,81.235404,81.561104,81.87898066666666,82.19992000000002,82.54035733333333,82.86736133333332,83.20747933333332,83.55367
175 day,73.48207314285715,73.59832571428572,73.7090182857143,73.84264971428573,73.9645262857143,74.09061142857144,74.19413771428573,74.27921942857144,74.35892000000003,74.52057314285716,74.85974971428571,74.99670285714285,75.1132342857143,75.25399771428573,75.4018542857143,75.53974628571429,75.6850582857143,75.837456,75.98967371428573,76.1359102857143,76.4174262857143,76.56295714285716,76.71139885714287,76.83511200000002,76.9566182857143,77.15748514285715,77.38865714285716,77.61085942857143,77.83052342857142,78.07141942857143,78.30109200000001,78.53460628571429,79.02037942857145,79.28052571428573,79.53960400000001,79.80535371428572,80.07750971428574,80.35576742857144,80.62962228571429,80.90371200000001,81.18667542857145
