,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-18,2019-01-31,2019-02-05
1 hr,37.07496666666666,38.281616666666665,37.55006666666666,36.862783333333354,37.115400000000015,35.47946666666665,35.55461666666666,36.72695000000001,37.07493333333334,37.79600000000001,37.96881666666668,38.97513333333333,39.80604999999999,39.42981666666669,39.69423333333334,40.81138333333331,41.810950000000005,43.20436666666667
1 min,37.01,38.12,37.71,36.99,37.19,35.49,35.64,37.2,37.21,37.89,37.9,39.01,39.71,39.43,39.64,40.83,41.94,43.2
1.5 hr,37.082188888888886,38.26472222222222,37.51219999999999,36.83194444444447,37.12998888888889,35.47195555555556,35.57408888888889,36.59430000000001,37.03484444444443,37.84498888888889,38.025566666666684,39.01915555555554,39.7683222222222,39.43843333333335,39.73927777777778,40.82734444444445,41.82413333333332,43.199433333333324
10 day,36.94986,37.04364,37.06159,37.05959,36.99873,36.68347,36.61762,36.53682,36.42537,36.506119999999996,36.65471,36.96817,37.39952,37.78691,38.21425000000001,40.065999999999995,40.989999999999995,41.614
10 min,36.992200000000004,38.199,37.70400000000001,36.93499999999999,37.1205,35.413999999999994,35.591,37.138,37.05800000000001,37.848,37.9465,38.955999999999996,39.7719,39.44100000000001,39.606,40.797,41.87050000000001,43.1935
100 day,38.39011299999999,38.32220899999999,38.23538399999998,38.139085999999985,38.04418599999998,37.70814499999998,37.584941999999984,37.370021999999985,37.13487499999999,37.11180199999999,37.09156699999999,37.09328099999999,37.09651999999999,37.102733,37.121297999999996,37.251454,37.415544999999995,37.552885
125 day,39.62661599999999,39.57411919999999,39.51803199999999,39.45770799999999,39.3966752,39.1881848,39.1171664,38.9957584,38.8409648,38.7895008,38.7351712,38.68589920000001,38.63880320000002,38.59169680000002,38.55136640000001,38.29167040000001,37.9179408,37.80063440000001
15 min,37.006466666666675,38.23933333333334,37.69166666666667,36.89933333333333,37.10013333333333,35.431999999999995,35.576666666666675,37.086333333333336,37.08900000000001,37.83766666666667,37.94833333333334,38.95566666666665,39.805600000000005,39.45000000000001,39.593333333333334,40.81466666666667,41.84893333333333,43.203
150 day,40.54835399999999,40.506659333333324,40.44932399999999,40.38441799999999,40.31700133333332,40.082795999999995,40.00533599999999,39.86303733333333,39.68352599999999,39.63275066666666,39.58449266666667,39.554428666666674,39.53161400000001,39.50355600000002,39.48782533333335,39.34001866666669,39.15905600000002,39.1417746666667
175 day,41.771653714285684,41.702141142857116,41.63284571428569,41.56534857142855,41.497685714285694,41.271678285714266,41.19676914285712,41.040683999999985,40.82766914285714,40.763314857142845,40.70253771428571,40.6464,40.591424,40.53104514285715,40.47186628571429,40.172781714285726,39.89778514285716,39.835201142857166
2 day,36.643550000000005,37.471599999999995,37.830749999999995,37.2571,36.98275,35.63595,35.481300000000005,36.23955,37.155,37.55,37.9,38.459999999999994,39.36,39.575,39.545,40.54,41.760000000000005,42.995000000000005
2 hr,37.01047499999999,38.30804166666666,37.54796666666665,36.81185833333335,37.13183333333333,35.39901666666666,35.56639166666666,36.52544166666669,37.031424999999984,37.85500833333333,38.061375000000005,39.05659999999999,39.74766666666665,39.46718333333333,39.828366666666675,40.81790000000002,41.834475,43.230416666666656
2.5 hr,36.968593333333324,38.39047999999999,37.59450666666666,36.78924666666667,37.16576666666666,35.37631333333332,35.57648,36.486000000000026,37.05396666666666,37.913160000000005,38.04207333333335,39.1199,39.732766666666656,39.51188,39.86734,40.78531333333336,41.837086666666664,43.21991333333333
20 day,36.820655,36.899469999999994,36.94985,36.99275,37.002224999999996,36.84809,36.786235,36.74334,36.74247999999999,36.752424999999995,36.760875,36.875205,37.04149500000001,37.202265000000004,37.366055,38.517084999999994,40.32,40.892500000000005
20 min,37.03110000000001,38.286,37.66975,36.885000000000005,37.100350000000006,35.461499999999994,35.54700000000001,37.0464,37.12125000000002,37.815250000000006,37.944649999999996,38.94849999999998,39.81345000000001,39.452250000000014,39.590250000000005,40.817750000000004,41.83694999999999,43.215500000000006
200 day,43.312932999999965,43.21883299999997,43.12903399999996,43.039311999999974,42.94230749999997,42.64454299999998,42.54000599999998,42.32680799999997,42.03090549999998,41.94106199999998,41.855631999999986,41.779965999999995,41.7101305,41.6462335,41.59305499999999,41.260563000000005,40.93888200000001,40.831125000000014
25 min,37.045880000000004,38.3118,37.6306,36.87760000000001,37.09440000000001,35.49256,35.517,37.00072,37.136800000000015,37.801,37.94728,38.95619999999999,39.82276000000001,39.45940000000002,39.58940000000001,40.8142,41.82771999999999,43.21460000000001
3 hr,36.9826611111111,38.45856666666666,37.622255555555554,36.78410000000001,37.204016666666654,35.37846111111111,35.55884444444445,36.43533333333334,37.06355555555555,37.99895,38.02965555555558,39.19105555555556,39.733688888888885,39.549099999999996,39.89858888888888,40.76152777777778,41.83665555555557,43.20419444444443
3.5 hr,37.03761904761903,38.48475714285714,37.65095714285714,36.75569047619048,37.23170476190475,35.38888095238095,35.5534619047619,36.39844761904762,37.061790476190474,38.03959999999999,38.036076190476216,39.22893809523809,39.741576190476195,39.55500952380953,39.94298095238095,40.73709047619049,41.82978095238096,43.18520952380953
30 day,36.32000333333333,36.44637333333333,36.53715666666666,36.614973333333324,36.67915333333333,36.761626666666665,36.73302666666667,36.72604333333333,36.80362333333333,36.83685666666666,36.86344,36.93600333333334,37.0319,37.119793333333334,37.22732333333333,37.93880333333333,39.04870666666667,39.72817333333333
30 min,37.06190000000001,38.31533333333333,37.60803333333334,36.866833333333346,37.0862,35.512133333333324,35.507,36.94976666666667,37.14050000000001,37.79006666666667,37.952400000000004,38.961499999999994,39.82326666666667,39.4635,39.59983333333335,40.81093333333333,41.82259999999999,43.21316666666668
4 hr,37.07868333333332,38.50709999999999,37.68763749999999,36.715583333333335,37.284400000000005,35.39453333333333,35.583016666666666,36.35842500000002,37.04432916666668,38.05455416666668,38.05490000000004,39.23644166666666,39.75407916666666,39.56198749999998,39.97784583333331,40.71072500000002,41.82662083333333,43.16953333333332
4.5 hr,37.12320370370368,38.52492222222222,37.7256074074074,36.68619999999999,37.312903703703704,35.42325185185183,35.62033703703706,36.28854074074075,37.02434074074073,38.08464074074075,38.08690740740744,39.2313111111111,39.77948518518517,39.548711111111096,40.00657777777776,40.68331481481482,41.832559259259256,43.15960370370369
40 day,36.19114249999999,36.23827999999999,36.25274499999999,36.25024999999999,36.28765999999999,36.2809275,36.296139999999994,36.3742075,36.5675725,36.635895,36.709955,36.81401000000001,36.92110000000001,36.99649750000001,37.0699125,37.71850250000001,38.5362125,38.9669975
45 min,37.074999999999996,38.2946,37.59222222222221,36.880044444444465,37.10386666666667,35.52839999999998,35.52855555555555,36.820355555555565,37.09535555555557,37.78871111111111,37.9520888888889,38.97015555555556,39.82906666666667,39.44402222222223,39.6642,40.81011111111109,41.81337777777777,43.209044444444466
5 day,36.52386,36.78524,37.03464,37.16632,37.30798,36.332300000000004,36.068920000000006,35.86342,36.781819999999996,37.284499999999994,37.446,37.824,38.346,38.791999999999994,39.144,40.221999999999994,41.290000000000006,42.32000000000001
5 hr,37.1560233333333,38.52760999999999,37.751296666666676,36.669566666666654,37.30852333333333,35.4604433333333,35.62723000000003,36.221590000000006,37.02046333333332,38.07071000000003,38.10175000000004,39.21469666666665,39.781476666666656,39.56417333333331,40.02488666666665,40.64683333333334,41.830259999999996,43.15641999999999
5 min,37.005,38.136,37.735,36.983,37.155,35.44199999999999,35.644,37.196000000000005,37.094,37.877,37.919,38.994,39.7328,39.439,39.63000000000001,40.787,41.940999999999995,43.2
5.5 hr,37.1761636363636,38.509027272727266,37.781287878787886,36.69007878787877,37.28896666666666,35.482003030303005,35.65861818181819,36.15151515151514,37.03628181818181,38.00802121212123,38.07487878787883,39.20346666666664,39.77127878787878,39.60642727272727,40.037639393939365,40.611748484848476,41.82586969696969,43.156336363636356
50 day,36.215782,36.22456199999999,36.22934999999998,36.22715399999999,36.24670799999999,36.24331599999999,36.238327999999996,36.26027799999999,36.28527399999999,36.331351999999995,36.36565999999999,36.427954,36.504646,36.594294000000005,36.68515,37.464408000000006,38.230114,38.57614
50 min,37.0879,38.29484,37.575079999999986,36.88224000000002,37.111180000000004,35.51715999999998,35.53689999999999,36.78654000000001,37.083720000000014,37.78944,37.95368000000001,38.970960000000005,39.822759999999995,39.44018000000001,39.67058,40.80883999999998,41.80893999999999,43.20484000000001
55 min,37.08219999999999,38.2894,37.56007272727272,36.87367272727275,37.11416363636364,35.49305454545453,35.54539999999999,36.756600000000006,37.07756363636365,37.7914,37.96098181818183,38.9725090909091,39.81396363636363,39.43343636363638,39.679981818181815,40.809309090909075,41.8084909090909,43.2043090909091
6 hr,37.19118055555552,38.48211111111112,37.79810277777781,36.72104444444443,37.28163333333332,35.50581388888885,35.68285277777779,36.09430277777777,37.065730555555554,37.942683333333335,38.04968333333336,39.17230833333331,39.756225,39.66904166666666,40.03560555555554,40.56977499999999,41.82012777777776,43.152902777777776
6.5 hr,37.17720256410254,38.4420923076923,37.81435641025643,36.75628974358974,37.25771538461536,35.519387179487154,35.68233076923079,36.05179487179486,37.08765128205129,37.862669230769235,38.03335128205131,39.11559743589742,39.72638974358973,39.71686410256409,40.03211025641025,40.54976666666665,41.79983589743589,43.1425282051282
60 day,36.51248499999999,36.51427499999999,36.50791999999999,36.48212833333332,36.45916333333332,36.35795333333332,36.31983499999999,36.26928833333332,36.260189999999994,36.289943333333326,36.317535,36.368615,36.43601666666667,36.49642500000001,36.563991666666666,37.034295000000014,37.86393,38.24490000000001
70 day,36.80980999999999,36.785465714285706,36.77319428571427,36.73899999999998,36.71561857142855,36.62061857142856,36.57770714285713,36.515961428571416,36.474019999999996,36.46587142857142,36.45630285714285,36.47197571428572,36.506748571428574,36.52941714285715,36.55497857142857,36.89681285714287,37.47096571428572,37.75831857142858
80 day,37.04773249999999,37.041983749999986,37.02888124999998,37.00505874999998,36.984599999999986,36.898241249999984,36.85534374999999,36.775686249999985,36.699796249999984,36.689431249999984,36.683796249999986,36.69676249999999,36.717981249999994,36.728857500000004,36.74248375,36.92122875000001,37.29745750000001,37.550137500000005
90 day,37.46259999999999,37.3572911111111,37.23969555555554,37.213708888888874,37.179099999999984,37.062853333333315,37.02671333333332,36.99096444444443,36.94064888888887,36.931435555555545,36.9310711111111,36.93872666666666,36.953938888888885,36.958851111111116,36.96189444444444,37.07112222222223,37.32234444444445,37.48136
Tomorrow,38.0303,37.6312,36.883,37.0825,36.4241,35.5661,35.3766,37.12,37.89,37.91,39.01,39.71,39.44,39.65,40.04,40.76,42.09,43.27
