,2018-12-11,2019-01-18,2019-01-24,2019-02-05,2019-02-06,2019-02-11,2019-02-14,2019-02-15
1 hr,26.96111666666667,30.907916666666676,31.969566666666683,34.41625000000001,33.747483333333335,33.53843333333331,34.55353333333333,31.68731666666667
1 min,26.84,30.81,32.03,34.42,33.77,33.5,34.41,31.47
1.5 hr,26.979455555555553,30.92388888888889,31.946000000000012,34.39788888888889,33.74623333333334,33.553244444444445,34.576499999999996,31.79734444444446
10 day,28.840999999999998,29.822999999999997,30.419,33.199,33.446,33.553999999999995,33.817,33.596
10 min,26.902500000000003,30.823500000000003,32.055499999999995,34.428,33.76049999999999,33.506499999999996,34.457,31.5294
100 day,31.400399999999994,29.933399999999995,29.914199999999997,30.1354,30.171299999999995,30.22119999999999,30.272999999999982,30.257699999999982
125 day,32.405359999999995,30.738159999999993,30.584559999999993,30.426239999999996,30.413199999999993,30.44447999999999,30.498879999999986,30.497119999999985
15 min,26.902666666666672,30.84633333333333,32.03466666666666,34.422666666666665,33.75333333333334,33.51266666666666,34.48066666666667,31.55613333333333
150 day,32.76006666666665,31.685999999999993,31.58633333333332,31.495399999999997,31.47966666666666,31.42299999999999,31.363066666666654,31.31579999999999
175 day,33.00108571428569,32.1070857142857,32.04211428571427,32.016914285714286,32.01965714285714,32.02217142857142,32.00337142857142,31.978628571428562
2 day,27.380000000000003,30.925,31.660000000000004,34.34,34.095,33.364999999999995,34.135,32.94
2 hr,26.95655,30.928924999999992,31.926591666666678,34.39833333333332,33.754808333333344,33.56269166666667,34.54851666666666,31.92041666666667
2.5 hr,26.961073333333335,30.928693333333328,31.89476000000002,34.37180666666665,33.76496666666668,33.5694666666667,34.50400666666668,32.00473333333335
20 day,28.767499999999995,28.625500000000006,29.278,31.5865,31.8205,32.33999999999999,33.009,33.03099999999999
20 min,26.8988,30.858499999999992,32.01099999999999,34.42199999999999,33.75095,33.512249999999995,34.490500000000004,31.55585
200 day,34.08119999999998,32.37289999999998,32.27124999999998,32.25874999999999,32.258999999999986,32.254699999999985,32.27309999999998,32.26229999999998
25 min,26.909480000000002,30.86831999999999,32.00075999999999,34.427600000000005,33.748560000000005,33.5098,34.50432,31.586679999999998
3 hr,26.98025555555556,30.92611666666666,31.86900000000001,34.353899999999996,33.78275555555557,33.569705555555586,34.479950000000024,32.083311111111115
3.5 hr,26.98197142857144,30.944447619047615,31.8521142857143,34.36686666666667,33.784047619047634,33.57827142857144,34.45654761904765,32.18810952380954
30 day,28.935,28.36966666666667,28.65833333333334,30.25833333333333,30.50266666666666,31.080333333333325,31.73066666666666,31.886333333333322
30 min,26.92123333333334,30.877433333333318,31.993633333333335,34.433,33.748466666666666,33.51316666666666,34.51193333333333,31.61783333333333
4 hr,27.003370833333342,30.95175833333334,31.832183333333337,34.379637499999994,33.78058333333333,33.582470833333346,34.41646250000003,32.261870833333354
4.5 hr,27.054362962962976,30.956174074074085,31.809411111111114,34.39992962962963,33.791177777777776,33.581625925925934,34.369737037037055,32.31443703703704
40 day,29.102250000000005,28.549,28.756750000000004,29.625250000000005,29.752499999999998,30.160249999999998,30.632499999999993,30.739249999999988
45 min,26.94648888888889,30.890555555555558,31.981311111111115,34.428666666666686,33.748244444444445,33.534533333333314,34.52662222222221,31.649888888888892
5 day,28.147999999999996,30.15,31.140000000000004,33.946,33.94199999999999,33.589999999999996,33.802,33.45
5 hr,27.11572666666669,30.960040000000014,31.776453333333333,34.41267,33.809236666666656,33.580416666666686,34.332586666666685,32.358386666666675
5 min,26.866000000000003,30.810000000000002,32.07899999999999,34.428,33.784,33.486000000000004,34.432,31.4978
5.5 hr,27.193918181818205,30.956493939393955,31.758612121212117,34.412548484848486,33.831557575757564,33.569127272727286,34.290800000000026,32.41831212121214
50 day,29.812800000000003,28.631400000000003,28.729200000000006,29.532600000000006,29.6204,29.8888,30.162599999999998,30.191799999999994
50 min,26.960539999999995,30.897100000000005,31.976980000000008,34.42380000000002,33.74642,33.535539999999976,34.531159999999986,31.656600000000005
55 min,26.960309090909092,30.903181818181825,31.97480000000001,34.42009090909092,33.746381818181824,33.536963636363616,34.542999999999985,31.667527272727277
6 hr,27.281888888888904,30.949369444444436,31.756352777777792,34.403391666666685,33.8481111111111,33.55278333333333,34.23383611111113,32.45555000000004
6.5 hr,27.361235897435918,30.9451923076923,31.73997692307694,34.402025641025666,33.872887179487165,33.544907692307675,34.182471794871795,32.49503589743592
60 day,30.301833333333338,28.565666666666672,28.80333333333334,29.399000000000004,29.466666666666665,29.711833333333335,29.977166666666665,30.01416666666666
70 day,30.390285714285717,29.04185714285715,28.99600000000001,29.281142857142868,29.39485714285715,29.65614285714286,29.853999999999996,29.87928571428571
80 day,30.541125,29.53125,29.455374999999997,29.52650000000001,29.551125000000003,29.574875000000002,29.590249999999997,29.640874999999994
90 day,30.80655555555556,29.789555555555555,29.814999999999998,29.906333333333336,29.912777777777773,29.925222222222217,29.9671111111111,29.956444444444433
Tomorrow,28.69,30.53,33.6,33.77,33.03,34.01,31.47,NULL
