,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-23,2019-02-01,2019-02-05,2019-02-11
1 hr,35.356,32.678799999999995,32.40541666666666,31.064100000000003,30.37988333333334,28.95466666666667,30.55618333333333,30.314966666666656,29.98620000000001,31.166483333333336,31.69990000000001,32.771649999999994,30.635916666666663,34.29251666666666,34.618649999999995,34.20853333333334
1 min,35.03,32.85,32.38,31.0,30.27,29.1,30.83,30.32,29.92,30.82,31.76,32.51,30.85,34.24,34.69,34.28
1.5 hr,35.47153333333335,32.53844444444444,32.39486666666668,31.08951111111111,30.590588888888895,28.831500000000005,30.444733333333318,30.367655555555526,30.030099999999997,31.19977777777778,31.611744444444444,32.698444444444426,30.561111111111117,34.3660111111111,34.63732222222221,34.28308888888889
10 day,36.162,35.931,35.489,34.93299999999999,33.759,32.966,30.880999999999993,30.310999999999996,30.22,30.447000000000003,30.801,31.219,33.099999999999994,32.851,33.169,34.256
10 min,35.04,32.949,32.3295,30.9808,30.285500000000003,29.0165,30.7137,30.336499999999994,29.970299999999998,30.916500000000003,31.7403,32.5175,30.774500000000007,34.1905,34.6505,34.276300000000006
100 day,42.85209999999998,42.550799999999974,42.26659999999997,41.956199999999974,41.36979999999998,41.103499999999976,40.28219999999998,39.37529999999999,39.16499999999999,38.818299999999994,38.65589999999999,38.51389999999999,37.225300000000004,36.249900000000004,36.00370000000001,35.5352
125 day,46.67671999999999,46.41487999999998,46.15567999999998,45.89895999999998,45.37591999999999,45.116959999999985,44.35783999999999,43.45639999999999,43.20935999999999,42.71055999999998,42.477119999999985,42.24399999999999,40.12071999999998,38.72263999999999,38.34576000000001,37.84680000000001
15 min,35.059333333333335,32.98180000000001,32.31666666666667,30.958533333333335,30.269,28.964000000000002,30.703133333333334,30.3158,29.97386666666667,30.96333333333333,31.744533333333333,32.568,30.80233333333334,34.22533333333333,34.67666666666667,34.2692
150 day,48.47289999999998,48.322966666666645,48.17276666666665,48.015033333333314,47.721833333333315,47.568333333333314,47.11473333333332,46.47519999999999,46.29053333333332,45.91913333333332,45.73533333333332,45.54646666666666,43.719266666666655,42.37893333333333,42.0518,41.3478
175 day,48.79682857142856,48.681971428571416,48.565971428571416,48.44739999999999,48.18659999999999,48.046542857142846,47.69225714285714,47.31882857142856,47.217342857142846,47.02785714285713,46.9392857142857,46.847914285714275,45.79625714285713,45.02468571428571,44.78497142857143,44.2776
