,2019-01-22
1 hr,4.638516666666665
1 min,4.61
1.5 hr,4.653677777777773
10 day,4.862
10 min,4.628000000000001
100 day,8.242099999999999
125 day,8.54952
15 min,4.632000000000001
150 day,8.711866666666667
175 day,8.42782857142857
2 day,4.6850000000000005
2 hr,4.669674999999999
2.5 hr,4.6806733333333375
20 day,4.936
20 min,4.633
200 day,8.244274999999998
25 min,4.630840000000001
3 hr,4.69161666666667
3.5 hr,4.700766666666669
30 day,5.040666666666667
30 min,4.632033333333333
4 hr,4.699837500000007
4.5 hr,4.6992444444444565
40 day,5.2627500000000005
45 min,4.638244444444442
5 day,4.726000000000001
5 hr,4.698520000000016
5 min,4.62
5.5 hr,4.695412121212142
50 day,6.258999999999999
50 min,4.6398199999999985
55 min,4.639472727272727
6 hr,4.694933333333356
6.5 hr,4.698397435897458
60 day,6.838833333333332
70 day,7.324857142857141
80 day,7.789874999999998
90 day,8.120222222222221
Tomorrow,4.5
