,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,43.61861666666667,43.89813333333334,42.48918333333335,41.56748333333333,41.24086666666667,40.66195000000002,40.08034999999999,39.82751666666668,39.11166666666666,40.12656666666666,40.40695,41.373833333333316,41.43768333333333,42.601800000000004,42.98745,43.063933333333324,43.62588333333334,43.84176666666668,43.95321666666668,44.40180000000001,44.725649999999995,45.79290000000002,46.38783333333335,47.09483333333332,46.36138333333334,48.09415000000002,48.55024999999999,48.70191666666667,48.78513333333332,48.43046666666668,48.20579999999998,47.4748166666667,48.192533333333344,48.83326666666665,48.74019999999998,48.948566666666665,49.2324,48.95581666666666,49.33816666666665,49.934849999999976,49.81393333333335,49.148649999999996,50.04546666666668
1 min,43.45,43.72,42.49,41.53,41.2,40.77,40.13,39.74,39.04,40.52,40.73,41.59,41.34,42.63,42.78,43.19,43.56,43.77,44.0,44.32,44.82,45.75,46.59,47.07,46.53,48.11,48.59,48.67,48.8,48.25,47.98,47.57,48.275,49.02,48.83,48.99,49.3,49.02,49.41,49.89,49.56,48.92,50.11
1.5 hr,43.65481111111112,43.88864444444445,42.513755555555576,41.58298888888888,41.307655555555556,40.62880000000001,40.302277777777775,39.82111111111113,39.19577777777777,39.985833333333325,40.356311111111104,41.414688888888875,41.494299999999996,42.602344444444455,43.02045555555556,43.06912222222221,43.64958888888888,43.83174444444446,43.96725555555557,44.414800000000014,44.65522222222223,45.7834888888889,46.34994444444445,47.056922222222184,46.36618888888889,48.09812222222225,48.49868888888887,48.733166666666676,48.738188888888885,48.4618777777778,48.26759999999998,47.47005555555559,48.172933333333326,48.81684444444446,48.74545555555558,48.930822222222204,49.20388888888886,48.96134444444443,49.34197777777776,49.926077777777756,49.811044444444484,49.1161,50.05470000000001
10 day,46.32576,45.90828,45.33077,44.66778000000001,43.92527,43.16686,42.594319999999996,41.98301,41.38163999999999,40.520849999999996,39.911539999999995,39.95031,40.00896,40.25646,40.55963,40.969159999999995,41.47013,41.79317999999999,42.144059999999996,42.530719999999995,42.93527999999999,43.34977,43.870619999999995,44.31095999999999,44.68271,45.17273999999999,45.67471,46.16375,46.641859999999994,47.03249999999999,47.34759,47.53048,47.69945,47.89426999999999,48.12289,48.20936999999999,48.27895,48.314730000000004,48.37635,48.53936,48.725210000000004,48.887829999999994,49.09887
10 min,43.489,43.7879,42.486000000000004,41.522000000000006,41.1725,40.845,40.1405,39.6555,39.00300000000001,40.404,40.52199999999999,41.51350000000001,41.410000000000004,42.6245,42.878499999999995,43.164,43.510000000000005,43.8145,43.98,44.303999999999995,44.775999999999996,45.783,46.475,47.054500000000004,46.365,48.0355,48.6141,48.659499999999994,48.7325,48.290499999999994,47.965999999999994,47.563,48.2685,48.9435,48.772000000000006,48.995900000000006,49.28249999999999,48.95,49.411500000000004,49.879999999999995,49.634,49.027,50.072500000000005
100 day,49.852915,49.766704,49.66060399999999,49.56018999999999,49.46346899999999,49.36080399999999,49.25197499999999,49.13239199999999,49.01272999999999,48.753468999999996,48.39107,48.277005,48.16586099999999,48.068224,47.977091,47.880011,47.792042,47.696084,47.60251099999999,47.509748,47.419484999999995,47.34004599999999,47.273797999999985,47.21370299999999,47.14596899999999,47.09542199999998,47.04816499999999,47.006741999999996,46.96532699999999,46.91222,46.857319,46.80357899999999,46.76232999999999,46.726558,46.686626,46.65727399999999,46.637426,46.609064999999994,46.589420999999994,46.57642499999999,46.55739799999999,46.528020999999995,46.50975299999999
125 day,50.45964640000001,50.371500000000005,50.27498880000001,50.168328800000005,50.05652800000001,49.9391856,49.8141616,49.6938952,49.575137600000005,49.361913600000015,49.08087520000002,49.00023360000002,48.91737040000002,48.84303360000002,48.759438400000015,48.68295360000001,48.61168960000001,48.546654400000016,48.48965680000001,48.430332000000014,48.36963760000001,48.3079296,48.26028960000001,48.217800800000006,48.16496720000001,48.13688,48.1184272,48.0992744,48.0811544,48.0531592,48.0283608,47.9917368,47.9550208,47.925523999999996,47.89546,47.865410399999995,47.8355472,47.80778159999999,47.783744799999994,47.7672968,47.7426696,47.7174296,47.693568
15 min,43.4944,43.808266666666675,42.480333333333334,41.498000000000005,41.16,40.82166666666667,40.1094,39.695,39.00600000000001,40.38433333333334,40.525933333333334,41.494666666666674,41.43500000000001,42.62266666666667,42.894666666666666,43.18066666666666,43.52373333333334,43.815333333333335,43.98933333333333,44.31266666666667,44.78,45.776,46.473,47.06633333333333,46.363866666666674,48.035999999999994,48.59673333333333,48.66933333333332,48.731,48.31000000000001,48.004933333333334,47.516333333333336,48.28466666666667,48.924,48.76053333333334,48.994600000000005,49.263000000000005,48.92893333333333,49.40633333333333,49.879666666666665,49.68166666666666,49.05433333333334,50.06466666666665
150 day,51.37207133333335,51.28818733333335,51.19295800000001,51.091171333333335,50.98837000000001,50.88128466666667,50.768911333333335,50.65041600000001,50.530886,50.291503333333345,49.96495666666668,49.880792000000014,49.79110866666668,49.71455600000001,49.63356266666668,49.55233800000002,49.47559466666668,49.391270666666685,49.30971533333334,49.22884000000002,49.155272666666676,49.08937533333334,49.031336666666675,48.97994800000001,48.92622733333335,48.88088066666667,48.83681666666667,48.79151400000001,48.74478000000001,48.70095066666667,48.66109533333335,48.62258533333335,48.59513266666667,48.57166533333334,48.55014866666668,48.527858000000016,48.511814000000015,48.493719333333345,48.476832666666674,48.45421866666668,48.43467866666668,48.41290466666668,48.40279600000001
175 day,51.55970285714287,51.51256857142859,51.45828114285716,51.40664742857144,51.35196342857145,51.290532571428585,51.2269765714286,51.15008000000002,51.07647714285717,50.93701142857145,50.73846000000002,50.67128857142858,50.598170285714296,50.531314857142874,50.466487428571426,50.40091257142857,50.34219085714286,50.28298514285714,50.22430285714284,50.171631999999995,50.11609771428571,50.06562285714283,50.01745942857141,49.96447314285714,49.905738285714285,49.85580971428571,49.809782857142864,49.762980571428585,49.715905714285746,49.66267485714289,49.61088571428575,49.55581485714289,49.50146400000003,49.45417771428574,49.406711428571455,49.3646445714286,49.3363525714286,49.303159428571455,49.276166285714304,49.24707085714288,49.21533314285717,49.181792571428595,49.14730400000001
2 day,43.57635,43.3229,42.85075,41.7673,41.11625,40.7286,40.2018,39.69485,39.16305,39.2724,40.34095,40.912499999999994,41.2157,41.73255,42.4482,42.72655,43.10425,43.3925,43.6112,43.8895,44.29705,45.00775,45.892399999999995,46.5385,46.50865,47.03545,48.06425,48.34755,48.44695,48.23325,47.8257,47.49765,47.651700000000005,48.35745,48.62585,48.61095,48.84455,48.87435,48.933949999999996,49.3564,49.57,49.239999999999995,49.519999999999996
2 hr,43.62180000000001,43.888216666666686,42.56364166666667,41.61554166666665,41.37375833333335,40.66959166666668,40.43932499999998,39.75331666666668,39.26615833333334,39.91986666666666,40.33964166666667,41.417599999999986,41.5396583333333,42.566900000000004,43.06275833333329,43.094941666666635,43.65413333333331,43.810966666666694,43.996941666666686,44.39350000000001,44.61184999999999,45.77122499999999,46.30078333333333,47.04674166666666,46.41940833333335,48.11745833333337,48.452625000000005,48.78262500000001,48.72050833333336,48.49687500000003,48.31690833333331,47.45983333333334,48.155099999999976,48.798874999999995,48.74146666666666,48.91290833333332,49.19388333333333,48.948100000000004,49.32780833333334,49.92768333333331,49.78823333333335,49.08895833333336,50.03685833333332
2.5 hr,43.58607333333334,43.91287333333337,42.64074666666666,41.65894666666666,41.41918000000003,40.70356666666668,40.58942666666663,39.74772666666665,39.325060000000015,39.83024666666667,40.36642666666668,41.39887999999999,41.58707333333332,42.560386666666666,43.09920666666661,43.11271999999996,43.666926666666654,43.726400000000034,43.99136000000001,44.39003333333335,44.58802,45.77764666666666,46.29178666666668,47.027293333333326,46.469706666666674,48.108680000000035,48.411766666666665,48.784513333333344,48.72985333333337,48.53251333333337,48.315906666666656,47.44059333333334,48.17523999999998,48.7706,48.71357333333333,48.902073333333306,49.22321999999998,48.936013333333335,49.338320000000024,49.926946666666645,49.7522866666667,49.062713333333356,50.01747999999999
20 day,47.057835,46.788465,46.4684,46.15479500000001,45.798945,45.41775,45.00176499999999,44.622060000000005,44.221979999999995,43.423305,42.289660000000005,41.93779,41.58791,41.42539000000001,41.27132,41.1754,41.141605000000006,41.157014999999994,41.170435000000005,41.26089,41.42341,41.650040000000004,41.93979,42.28371,42.62117,43.070949999999996,43.57242,43.97846500000001,44.39296,44.78160999999999,45.141434999999994,45.440125,45.785035,46.102615,46.4028,46.691055,46.97683,47.23924000000001,47.509105000000005,47.78593000000001,48.0364,48.209154999999996,48.39916
20 min,43.50484999999999,43.834300000000006,42.47495,41.49825,41.159499999999994,40.785500000000006,40.0743,39.7463,39.00350000000001,40.37275,40.53920000000001,41.461000000000006,41.439750000000004,42.61750000000001,42.89574999999999,43.178749999999994,43.53930000000001,43.81985000000001,43.98925,44.32025000000001,44.7745,45.778,46.47350000000001,47.0806,46.37940000000001,48.05425,48.582049999999995,48.67024999999999,48.741749999999996,48.335249999999995,48.02345,47.48899999999999,48.290000000000006,48.898250000000004,48.76315,48.99170000000001,49.26175,48.92419999999999,49.394999999999996,49.89525,49.727399999999996,49.08825000000001,50.06274999999998
200 day,51.778548,51.7231685,51.665492,51.605931,51.54252700000001,51.47258300000001,51.39544800000002,51.31446700000001,51.23416650000001,51.071092000000014,50.86708000000002,50.80214100000001,50.73865200000001,50.68240350000002,50.6255325,50.580530500000016,50.5463675,50.503416500000014,50.467576,50.43264200000001,50.39740399999999,50.373490499999974,50.35096349999997,50.326271,50.2987985,50.28627149999999,50.2752505,50.2608605,50.24833850000002,50.223348500000014,50.20327800000002,50.179019000000025,50.165038500000016,50.15385350000001,50.13624650000001,50.11649900000001,50.09609200000002,50.070332000000015,50.04562900000002,50.024191500000015,49.99996150000002,49.976789500000024,49.958050000000014
25 min,43.51991999999999,43.850040000000014,42.46896000000001,41.498999999999995,41.166000000000004,40.7556,40.05924,39.7844,38.98920000000001,40.357800000000005,40.52416000000001,41.446400000000004,41.444,42.62844000000001,42.9104,43.17328,43.55624000000001,43.82176000000001,43.985,44.333999999999996,44.763600000000004,45.7816,46.48500000000001,47.097,46.35408000000001,48.05591999999999,48.57004,48.664519999999996,48.75339999999999,48.347,48.044760000000004,47.480199999999996,48.28876,48.88139999999999,48.76332,48.98644000000001,49.242599999999996,48.93235999999998,49.38084,49.906400000000005,49.75992000000001,49.10960000000002,50.05831999999997
