,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,3.7649666666666657,3.7374666666666676,3.702550000000001,3.6988666666666647,3.7042500000000023,3.7018833333333347,3.567549999999998,3.601350000000002,3.8263833333333337,3.9188666666666663,3.9848833333333338,3.9000999999999997,4.009116666666666,4.085350000000001,4.149849999999996,4.255083333333329,4.281683333333336,4.317233333333335,4.248433333333333,4.255216666666669,4.29055,4.295300000000001,4.319633333333332,4.251866666666667,4.403833333333332,4.377999999999996,4.397166666666665,4.414966666666664,4.490900000000001,4.468050000000002,4.5100833333333314,4.556716666666667,4.554616666666666,4.467866666666665,4.733383333333335,4.859933333333333,4.846666666666668,4.918899999999997,4.895066666666663,4.977216666666667,5.032683333333336
1 min,3.77,3.725,3.705,3.71,3.68,3.69,3.59,3.63,3.84,3.93,3.99,3.92,4.02,4.08,4.14,4.27,4.29,4.3,4.24,4.29,4.28,4.26,4.32,4.26,4.42,4.38,4.38,4.42,4.47,4.478,4.51,4.52,4.57,4.51,4.74,4.88,4.85,4.925,4.91,4.98,5.05
1.5 hr,3.762311111111109,3.7410666666666677,3.7027444444444426,3.7029555555555502,3.7068333333333308,3.703255555555558,3.5624222222222226,3.6076444444444467,3.8203888888888904,3.9212444444444468,3.9881666666666686,3.9035666666666677,4.018855555555555,4.0886777777777805,4.1523555555555545,4.251122222222221,4.278122222222218,4.309355555555555,4.249122222222222,4.254533333333334,4.29101111111111,4.298033333333337,4.3190222222222205,4.244733333333339,4.399833333333327,4.369566666666664,4.409766666666667,4.401688888888888,4.48623333333334,4.472877777777783,4.512944444444438,4.559422222222222,4.552077777777782,4.45288888888889,4.733155555555559,4.861177777777781,4.843399999999995,4.924599999999998,4.896644444444439,4.976666666666674,5.041788888888891
10 day,3.636,3.647,3.654,3.662,3.6650000000000005,3.6790000000000007,3.675,3.678,3.6910000000000003,3.7430000000000008,3.771,3.7950000000000004,3.8280000000000003,3.8760000000000003,3.9269999999999996,3.992,4.039000000000001,4.081999999999999,4.116999999999999,4.1819999999999995,4.217999999999999,4.241999999999999,4.268000000000001,4.279999999999999,4.294,4.303000000000001,4.3100000000000005,4.328,4.348,4.366999999999999,4.388999999999999,4.415,4.4399999999999995,4.465000000000001,4.498,4.548,4.593999999999999,4.6450000000000005,4.688,4.7379999999999995,4.7909999999999995
10 min,3.7555,3.732,3.7055,3.7074999999999996,3.6915000000000004,3.6980000000000004,3.5870000000000006,3.6105000000000005,3.8254999999999995,3.9195,3.9705,3.914,4.012,4.0685,4.151999999999999,4.255999999999999,4.2905,4.3035000000000005,4.2445,4.2755,4.2890999999999995,4.273999999999999,4.3229999999999995,4.2585,4.409000000000001,4.3765,4.368499999999999,4.429899999999999,4.4860999999999995,4.4758,4.5075,4.5335,4.5763,4.497,4.747999999999999,4.8742,4.8415,4.9158,4.899,4.9847,5.0268
100 day,3.8768000000000002,3.8720999999999997,3.8678000000000003,3.8624999999999994,3.8571999999999997,3.8535999999999997,3.8511,3.8495,3.844799999999999,3.8427999999999995,3.8431,3.8437,3.8457,3.8483,3.8520999999999996,3.8577999999999997,3.8637,3.8695999999999997,3.8745999999999996,3.8824999999999994,3.8859999999999997,3.889199999999999,3.8930999999999996,3.8952999999999998,3.8978999999999995,3.8999999999999995,3.902199999999999,3.904799999999998,3.909299999999998,3.914399999999998,3.9199999999999977,3.9251999999999976,3.930899999999998,3.9356999999999984,3.943299999999998,3.951899999999999,3.960799999999998,3.969899999999998,3.979699999999998,3.9898999999999982,4.000999999999999
125 day,3.9423199999999996,3.9374399999999996,3.93296,3.9289599999999996,3.9246399999999992,3.9207999999999994,3.9159199999999994,3.91232,3.907119999999999,3.902799999999999,3.9015199999999997,3.8998399999999998,3.8982399999999995,3.896879999999999,3.896479999999999,3.896559999999999,3.8956799999999996,3.89544,3.8953599999999997,3.8949599999999993,3.8949599999999998,3.895039999999999,3.896159999999999,3.8971199999999997,3.8985599999999994,3.89992,3.902559999999999,3.907199999999999,3.912639999999999,3.9176799999999985,3.9211999999999985,3.9254399999999983,3.930399999999999,3.934879999999999,3.941199999999999,3.949359999999999,3.957519999999999,3.9664799999999985,3.9755999999999987,3.9858399999999987,3.996479999999999
15 min,3.758,3.7306666666666666,3.7019999999999995,3.7033333333333327,3.693333333333334,3.7003333333333335,3.5850000000000004,3.6060000000000008,3.8250000000000006,3.9153333333333338,3.9682,3.9126666666666665,4.013999999999999,4.074333333333334,4.155866666666666,4.252666666666666,4.29,4.304,4.245,4.272,4.29,4.280666666666667,4.324,4.260666666666666,4.405,4.377,4.371333333333333,4.428266666666665,4.490399999999999,4.474466666666667,4.508,4.534666666666666,4.573533333333332,4.492000000000001,4.7459999999999996,4.871933333333333,4.843666666666666,4.916799999999999,4.893666666666667,4.984733333333334,5.0254
150 day,3.9897333333333327,3.9883333333333333,3.986666666666666,3.9846666666666652,3.9820666666666646,3.9795999999999982,3.976333333333332,3.9726666666666657,3.967799999999998,3.9628666666666663,3.9615333333333336,3.9588666666666663,3.956333333333333,3.9536666666666664,3.9518666666666666,3.9508,3.9500000000000006,3.949133333333333,3.9482,3.947400000000001,3.9473333333333342,3.946600000000001,3.946600000000001,3.9465333333333343,3.9479333333333337,3.9490000000000003,3.9503999999999997,3.9518666666666658,3.9544666666666664,3.9569333333333323,3.960399999999999,3.963599999999999,3.9669999999999987,3.9695333333333322,3.9735333333333323,3.9785333333333326,3.982666666666665,3.9872666666666654,3.991999999999999,3.996799999999999,4.0009999999999994
175 day,3.9301714285714278,3.931314285714285,3.9328571428571415,3.934114285714284,3.9350285714285693,3.935942857142855,3.9361714285714275,3.9369142857142845,3.9385714285714273,3.9437714285714285,3.9465714285714286,3.949142857142857,3.952628571428571,3.956228571428571,3.9599999999999995,3.9646857142857135,3.969085714285714,3.972914285714285,3.9763428571428565,3.9822285714285712,3.9845714285714284,3.986628571428571,3.988914285714286,3.9906285714285716,3.9929714285714284,3.9947428571428567,3.996571428571428,3.9985142857142844,4.000171428571428,4.002399999999999,4.004799999999999,4.00702857142857,4.009542857142856,4.011485714285714,4.014685714285714,4.017885714285714,4.020399999999999,4.02302857142857,4.025828571428572,4.028971428571428,4.032514285714287
2 day,3.6950000000000003,3.7350000000000003,3.715,3.705,3.6900000000000004,3.685,3.6399999999999997,3.61,3.7199999999999998,3.91,3.955,3.95,3.9699999999999998,4.045,4.105,4.205,4.279999999999999,4.3,4.275,4.279999999999999,4.285,4.27,4.295,4.295,4.335,4.395,4.38,4.4,4.445,4.475,4.49,4.51,4.55,4.545,4.625,4.8100000000000005,4.859999999999999,4.885,4.915,4.94,5.005000000000001
2 hr,3.7632249999999954,3.7478749999999965,3.7021166666666625,3.705341666666659,3.706708333333329,3.704175000000002,3.5509416666666644,3.6199916666666687,3.815400000000004,3.921391666666672,3.9886583333333365,3.9068500000000026,4.028725,4.09200833333334,4.151166666666664,4.244175000000001,4.277999999999994,4.30235,4.251808333333331,4.254783333333332,4.286516666666661,4.302758333333336,4.3230416666666605,4.243150000000006,4.397524999999992,4.364216666666667,4.4195166666666665,4.397624999999996,4.479033333333338,4.475100000000007,4.516116666666656,4.5605249999999975,4.548733333333339,4.439783333333332,4.7319083333333385,4.859450000000007,4.844474999999999,4.927575,4.901691666666657,4.976241666666675,5.044174999999996
2.5 hr,3.7660266666666598,3.7562666666666615,3.6955066666666623,3.708206666666662,3.7058999999999975,3.7054866666666695,3.5454999999999943,3.6302866666666675,3.808920000000002,3.925746666666674,3.988713333333338,3.9082666666666652,4.033626666666667,4.097333333333339,4.147719999999996,4.240840000000005,4.276846666666659,4.296893333333329,4.255826666666661,4.251700000000001,4.284479999999991,4.303793333333335,4.325133333333336,4.242440000000006,4.395093333333325,4.363546666666669,4.422846666666668,4.393913333333329,4.469746666666665,4.475940000000009,4.5174333333333205,4.55750666666666,4.543566666666667,4.428566666666663,4.7288933333333425,4.858600000000007,4.844533333333337,4.930440000000004,4.906886666666653,4.9759133333333425,5.044426666666655
20 day,3.5749999999999993,3.5849999999999995,3.595499999999999,3.601999999999999,3.6059999999999994,3.6184999999999996,3.6235,3.6305000000000005,3.6515,3.6985000000000015,3.716500000000001,3.7299999999999995,3.7535,3.7755,3.8024999999999998,3.8325000000000005,3.8649999999999998,3.893,3.9189999999999996,3.9765,4.0065,4.034999999999999,4.072,4.1034999999999995,4.143,4.171000000000001,4.196000000000001,4.2225,4.249499999999999,4.274499999999999,4.303499999999999,4.3285,4.354,4.3725000000000005,4.396,4.4255,4.452,4.486500000000001,4.518000000000001,4.5525,4.59
20 min,3.7627500000000005,3.7294999999999994,3.70075,3.7027499999999995,3.694,3.6990000000000003,3.5847500000000005,3.6017500000000005,3.8250000000000006,3.9130000000000003,3.9676500000000003,3.9105000000000003,4.01175,4.07675,4.1584,4.2509999999999994,4.2895,4.3092500000000005,4.244750000000001,4.2700000000000005,4.2875,4.2845,4.323249999999999,4.261249999999999,4.40175,4.3767499999999995,4.374499999999999,4.42495,4.49255,4.472599999999999,4.507750000000001,4.5344,4.5703999999999985,4.487000000000001,4.7455,4.870199999999999,4.844999999999998,4.91905,4.893250000000001,4.9823,5.0248
200 day,3.8994999999999997,3.9008,3.9021499999999993,3.902999999999999,3.9033999999999986,3.9040999999999983,3.9036999999999993,3.9032999999999993,3.903149999999999,3.9049999999999994,3.9057999999999993,3.906649999999999,3.9075999999999986,3.908249999999999,3.909899999999999,3.912249999999999,3.9144499999999995,3.9174999999999986,3.9202999999999992,3.92705,3.9311999999999996,3.9348999999999994,3.9389499999999997,3.9430499999999995,3.9476999999999993,3.9519999999999995,3.956249999999999,3.960599999999999,3.9654499999999997,3.9700999999999995,3.9745999999999992,3.979049999999999,3.9837999999999996,3.9886999999999997,3.9949499999999993,4.001999999999999,4.009149999999999,4.0165999999999995,4.0237,4.03135,4.0389
25 min,3.764720000000001,3.7275999999999994,3.7015999999999996,3.7028,3.6956,3.6992000000000007,3.5838,3.5985999999999994,3.8254000000000006,3.9116000000000004,3.9694400000000005,3.9116000000000013,4.01,4.078399999999999,4.158200000000001,4.2524,4.2888,4.3134,4.2444,4.2678,4.28748,4.287000000000001,4.318999999999999,4.260199999999999,4.4002,4.373599999999999,4.378279999999999,4.422960000000001,4.493080000000001,4.4730799999999995,4.507000000000001,4.536160000000001,4.565919999999998,4.4828,4.742000000000001,4.86696,4.845799999999998,4.92044,4.892120000000001,4.98084,5.02568
3 hr,3.7704388888888767,3.761755555555546,3.6876944444444373,3.714866666666663,3.7079333333333357,3.708072222222229,3.5463888888888806,3.6379944444444385,3.8042944444444413,3.930311111111124,3.9883833333333394,3.909888888888883,4.035038888888883,4.102316666666671,4.1459388888888835,4.2371444444444535,4.279027777777766,4.2931333333333255,4.257388888888882,4.249638888888891,4.281555555555546,4.302377777777774,4.327316666666674,4.242572222222228,4.389333333333329,4.364433333333336,4.41801111111111,4.390677777777775,4.465177777777783,4.4802277777777855,4.518655555555541,4.5559333333333205,4.540855555555552,4.417255555555555,4.724338888888902,4.858105555555564,4.842666666666674,4.931927777777783,4.913216666666656,4.973555555555568,5.044683333333317
